,genename,length,group,Cpg_number,log_gene_length,log_CpG,promoter_CpG_number,log_promoter_CpG
401,Brwd1,"90,338",Group1,"1,081",4.96,3.03,112,2.05
402,Grik1,"394,367",Group1,"2,927",5.6,3.47,33,1.52
403,Dopey2,"98,688",Group1,"1,504",4.99,3.18,54,1.73
404,Rcan1,"78,916",Group1,"1,398",4.9,3.15,21,1.32
405,Synj1,"75,218",Group1,871,4.88,2.94,54,1.73
406,Prpf40b,"21,933",Group1,310,4.34,2.49,66,1.82
407,Faim2,"31,155",Group1,491,4.49,2.69,28,1.45
408,Dip2b,"180,811",Group1,"2,233",5.26,3.35,42,1.62
409,Slc4a8,"62,223",Group1,"1,271",4.79,3.1,39,1.59
410,Scn8a,"176,082",Group1,"2,867",5.25,3.46,33,1.52
411,Gtf2ird1,"99,062",Group1,"1,442",5,3.16,40,1.6
412,Sympk,"30,243",Group1,451,4.48,2.65,102,2.01
413,Slc38a1,"71,497",Group1,"1,383",4.85,3.14,56,1.75
414,Scg5,"52,761",Group1,698,4.72,2.84,12,1.08
415,Agap3,"49,872",Group1,962,4.7,2.98,95,1.98
416,Synj2,"103,012",Group1,"1,426",5.01,3.15,71,1.85
417,Rps6ka2,"133,202",Group1,"1,872",5.12,3.27,52,1.72
418,Park2,"1,222,979",Group1,"10,288",6.09,4.01,45,1.65
419,Agpat4,"100,943",Group1,"1,218",5,3.09,29,1.46
420,Tnfrsf21,"72,635",Group1,"1,012",4.86,3.01,25,1.4
421,Fbxl17,"442,567",Group1,"4,466",5.65,3.65,117,2.07
422,Cpne5,"81,249",Group1,"1,200",4.91,3.08,116,2.06
423,Epb41l3,"214,308",Group1,"2,827",5.33,3.45,19,1.28
424,Galnt14,"217,227",Group1,"1,949",5.34,3.29,55,1.74
425,Birc6,"175,063",Group1,"1,459",5.24,3.16,58,1.76
426,Crim1,"176,346",Group1,"2,519",5.25,3.4,77,1.89
427,Man2a1,"154,376",Group1,"1,691",5.19,3.23,38,1.58
428,Washc2,"54,650",Group1,645,4.74,2.81,30,1.48
429,Nrxn1,"1,059,442",Group1,"5,960",6.03,3.78,19,1.28
430,Prepl,"26,792",Group1,387,4.43,2.59,74,1.87
431,St6gal2,"69,201",Group1,517,4.84,2.71,25,1.4
432,Kdm4b,"76,810",Group1,876,4.89,2.94,63,1.8
433,Grm8,"860,061",Group1,"4,601",5.93,3.66,77,1.89
434,Anks1,"153,262",Group1,"2,383",5.19,3.38,109,2.04
435,Fkbp5,"118,431",Group1,"1,460",5.07,3.16,73,1.86
436,Zeb1,"183,609",Group1,"1,436",5.26,3.16,65,1.81
437,Map4k3,"147,583",Group1,"1,660",5.17,3.22,73,1.86
438,Dtna,"244,582",Group1,"1,717",5.39,3.23,10,1
439,Cdh2,"220,371",Group1,"1,792",5.34,3.25,67,1.83
440,Bin1,"58,521",Group1,707,4.77,2.85,38,1.58
441,Impact,"20,698",Group1,315,4.32,2.5,18,1.26
442,Ttc39c,"137,126",Group1,"1,470",5.14,3.17,26,1.41
443,Nr3c1,"80,758",Group1,772,4.91,2.89,47,1.67
444,Mal2,"31,657",Group1,298,4.5,2.47,21,1.32
445,Ppp2r2b,"422,041",Group1,"3,360",5.63,3.53,29,1.46
446,Jakmip2,"156,367",Group1,"1,135",5.19,3.05,29,1.46
447,Rab27b,"162,476",Group1,"1,220",5.21,3.09,25,1.4
448,Spire1,"122,583",Group1,"1,183",5.09,3.07,80,1.9
449,Snx24,"145,163",Group1,"1,808",5.16,3.26,59,1.77
450,Ptpn2,"59,086",Group1,508,4.77,2.71,46,1.66
451,Ldlrad4,"322,294",Group1,"3,739",5.51,3.57,71,1.85
452,Mapk4,"136,875",Group1,"2,100",5.14,3.32,46,1.66
453,Smad2,"64,153",Group1,620,4.81,2.79,72,1.86
454,Atp9b,"199,919",Group1,"1,571",5.3,3.2,22,1.34
455,Napg,"21,616",Group1,308,4.33,2.49,47,1.67
456,Nedd4l,"330,128",Group1,"4,365",5.52,3.64,62,1.79
457,Slc12a2,"68,145",Group1,650,4.83,2.81,127,2.1
458,Tle4,"149,981",Group1,"1,121",5.18,3.05,123,2.09
459,Pcsk5,"404,802",Group1,"3,010",5.61,3.48,33,1.52
460,Tnks2,"59,247",Group1,562,4.77,2.75,51,1.71
461,Chka,"42,598",Group1,436,4.63,2.64,53,1.72
462,Pacs1,"139,433",Group1,"1,138",5.14,3.06,73,1.86
463,Pip5k1b,"261,080",Group1,"2,915",5.42,3.46,111,2.05
464,Apba1,"190,723",Group1,"2,430",5.28,3.39,111,2.05
465,Smarca2,"173,274",Group1,"2,270",5.24,3.36,67,1.83
466,Vldlr,"37,749",Group1,493,4.58,2.69,25,1.4
467,Smc5,"67,448",Group1,651,4.83,2.81,23,1.36
468,Spindoc,"26,564",Group1,303,4.42,2.48,46,1.66
469,Shoc2,"88,964",Group1,749,4.95,2.87,46,1.66
470,Vti1a,"311,016",Group1,"4,131",5.49,3.62,101,2
471,Sorbs1,"219,028",Group1,"2,766",5.34,3.44,49,1.69
472,Xpnpep1,"96,799",Group1,"1,563",4.99,3.19,32,1.51
473,Ablim1,"282,188",Group1,"3,589",5.45,3.55,39,1.59
474,Rab40b,"32,128",Group1,322,4.51,2.51,31,1.49
475,Btrc,"166,281",Group1,"1,651",5.22,3.22,35,1.54
476,Sacm1l,"62,843",Group1,416,4.8,2.62,58,1.76
477,Zfhx4,"197,333",Group1,"1,113",5.3,3.05,24,1.38
478,Abhd6,"53,863",Group1,535,4.73,2.73,50,1.7
479,Flnb,"133,633",Group1,"1,645",5.13,3.22,43,1.63
480,Ptprj,"150,895",Group1,"1,690",5.18,3.23,51,1.71
481,Itgb8,"80,782",Group1,370,4.91,2.57,32,1.51
482,Cdh9,"128,340",Group1,612,5.11,2.79,15,1.18
483,R3hdm2,"119,059",Group1,"1,191",5.08,3.08,40,1.6
484,St8sia5,"69,599",Group1,919,4.84,2.96,104,2.02
485,Adgra1,"43,916",Group1,474,4.64,2.68,29,1.46
486,Inpp5a,"190,545",Group1,"2,090",5.28,3.32,57,1.76
487,Fgf14,"699,222",Group1,"2,968",5.84,3.47,21,1.32
488,Farp1,"248,546",Group1,"3,438",5.4,3.54,48,1.68
489,Dock9,"255,793",Group1,"3,395",5.41,3.53,88,1.94
490,Tnrc6c,"109,152",Group1,"1,275",5.04,3.11,66,1.82
491,Rptor,"296,673",Group1,"3,217",5.47,3.51,20,1.3
492,Cpeb1,"108,441",Group1,808,5.04,2.91,22,1.34
493,8-Mar,"71,518",Group1,525,4.85,2.72,38,1.58
494,Slco3a1,"279,363",Group1,"2,394",5.45,3.38,56,1.75
495,Pard3,"548,395",Group1,"5,157",5.74,3.71,38,1.58
496,Homer2,"107,048",Group1,"1,361",5.03,3.13,22,1.34
497,Sec61a2,"24,447",Group1,245,4.39,2.39,31,1.49
498,Prkar1b,"132,697",Group1,"1,565",5.12,3.19,131,2.12
499,Uimc1,"72,422",Group1,577,4.86,2.76,35,1.54
500,Myo5b,"330,559",Group1,"3,783",5.52,3.58,32,1.51
501,Snca,"98,282",Group1,485,4.99,2.69,15,1.18
502,Gria4,"378,340",Group1,"1,817",5.58,3.26,23,1.36
503,Sntg1,"938,405",Group1,"4,763",5.97,3.68,33,1.52
504,Sgk3,"102,740",Group1,"1,016",5.01,3.01,63,1.8
505,Ube2w,"78,701",Group1,654,4.9,2.82,33,1.52
506,Adam23,"150,387",Group1,"1,377",5.18,3.14,57,1.76
507,Slc39a10,"85,310",Group1,695,4.93,2.84,15,1.18
508,Lancl1,"38,357",Group1,391,4.58,2.59,26,1.41
509,Raph1,"84,814",Group1,675,4.93,2.83,27,1.43
510,Als2,"74,307",Group1,694,4.87,2.84,49,1.69
511,Trak2,"72,983",Group1,804,4.86,2.91,74,1.87
512,Orc2,"42,340",Group1,401,4.63,2.6,32,1.51
513,Khdrbs2,"485,856",Group1,"2,394",5.69,3.38,30,1.48
514,Npas2,"169,507",Group1,"2,092",5.23,3.32,80,1.9
515,Gls,"69,786",Group1,544,4.84,2.74,43,1.63
516,Tmeff2,"286,625",Group1,"1,747",5.46,3.24,11,1.04
517,Mgat4a,"101,678",Group1,"1,299",5.01,3.11,56,1.75
518,Inpp4a,"110,873",Group1,"1,216",5.04,3.08,26,1.41
519,Dst,"400,438",Group1,"5,930",5.6,3.77,155,2.19
520,Col19a1,"325,584",Group1,"2,683",5.51,3.43,25,1.4
521,Fam135a,"89,250",Group1,770,4.95,2.89,46,1.66
522,Agfg1,"61,701",Group1,528,4.79,2.72,43,1.63
523,Sphkap,"154,063",Group1,908,5.19,2.96,10,1
524,Pnkd,"68,766",Group1,804,4.84,2.91,65,1.81
525,Ptprn,"17,477",Group1,304,4.24,2.48,35,1.54
526,Ngef,"97,038",Group1,"1,070",4.99,3.03,31,1.49
527,Lrrfip1,"130,209",Group1,"1,706",5.11,3.23,46,1.66
528,Cdh7,"157,728",Group1,714,5.2,2.85,17,1.23
529,Hdac4,"266,922",Group1,"2,151",5.43,3.33,20,1.3
530,Htr4,"143,600",Group1,963,5.16,2.98,46,1.66
531,Pam,"300,534",Group1,"2,549",5.48,3.41,46,1.66
532,Ccdc93,"75,413",Group1,"1,011",4.88,3,18,1.26
533,Tmem163,"193,004",Group1,"1,954",5.29,3.29,35,1.54
534,Ubxn4,"35,416",Group1,329,4.55,2.52,27,1.43
535,Dars,"53,663",Group1,369,4.73,2.57,29,1.46
536,Srgap2,"242,103",Group1,"1,414",5.38,3.15,83,1.92
537,Nfasc,"177,109",Group1,"2,256",5.25,3.35,39,1.59
538,Atp2b4,"101,586",Group1,"1,198",5.01,3.08,29,1.46
539,Lamc1,"113,866",Group1,"1,569",5.06,3.2,66,1.82
540,Rgl1,"249,593",Group1,"3,072",5.4,3.49,127,2.1
541,Cdc42bpa,"205,133",Group1,"1,500",5.31,3.18,167,2.22
542,Ahctf1,"58,788",Group1,604,4.77,2.78,50,1.7
543,Kif26b,"410,077",Group1,"4,116",5.61,3.61,154,2.19
544,Sdccag8,"205,779",Group1,"2,049",5.31,3.31,123,2.09
545,Cnih3,"108,015",Group1,"1,253",5.03,3.1,49,1.69
546,Rgs7,"433,415",Group1,"2,676",5.64,3.43,53,1.72
547,Dcaf6,"131,779",Group1,974,5.12,2.99,95,1.98
548,Astn1,"329,510",Group1,"2,227",5.52,3.35,7,0.85
549,Ush2a,"703,020",Group1,"6,506",5.85,3.81,16,1.2
550,Esrrg,"606,096",Group1,"6,267",5.78,3.8,81,1.91
551,Mark1,"102,783",Group1,"1,293",5.01,3.11,115,2.06
552,Lpgat1,"66,423",Group1,695,4.82,2.84,18,1.26
553,Plxna2,"198,653",Group1,"1,009",5.3,3,4,0.6
554,Frmd4a,"596,328",Group1,"5,723",5.78,3.76,12,1.08
555,Atf6,"163,099",Group1,"1,340",5.21,3.13,71,1.85
556,Rabgap1l,"574,039",Group1,"3,353",5.76,3.53,22,1.34
557,Rsu1,"194,596",Group1,"1,765",5.29,3.25,38,1.58
558,Pip4k2a,"155,873",Group1,"1,596",5.19,3.2,80,1.9
559,Dnajc1,"197,178",Group1,"1,244",5.29,3.09,27,1.43
560,Plxdc2,"399,537",Group1,"2,272",5.6,3.36,35,1.54
561,Golga1,"49,388",Group1,297,4.69,2.47,45,1.65
562,Kif5c,"155,482",Group1,"1,882",5.19,3.27,30,1.48
563,Fam188a,"72,209",Group1,562,4.86,2.75,9,0.95
564,Itga8,"195,292",Group1,"1,264",5.29,3.1,31,1.49
565,Gad2,"71,671",Group1,532,4.86,2.73,47,1.67
566,Stxbp1,"59,645",Group1,793,4.78,2.9,49,1.69
567,Med27,"177,976",Group1,"1,814",5.25,3.26,24,1.38
568,Tsc1,"49,941",Group1,541,4.7,2.73,49,1.69
569,Kcnj3,"162,177",Group1,787,5.21,2.9,19,1.28
570,Gpd2,"133,086",Group1,"1,490",5.12,3.17,23,1.36
571,Acvr1c,"90,444",Group1,876,4.96,2.94,39,1.59
572,Upp2,"225,675",Group1,"2,332",5.35,3.37,127,2.1
573,Fubp3,"44,877",Group1,478,4.65,2.68,48,1.68
574,Fam73b,"21,290",Group1,323,4.33,2.51,41,1.61
575,Dab2ip,"172,730",Group1,"2,359",5.24,3.37,30,1.48
576,Ttll11,"228,674",Group1,"2,627",5.36,3.42,24,1.38
577,Grb14,"112,513",Group1,919,5.05,2.96,11,1.04
578,Slc4a10,"280,270",Group1,"1,569",5.45,3.2,10,1
579,Strbp,"220,633",Group1,"1,167",5.34,3.07,15,1.18
580,Rbms1,"213,001",Group1,"2,477",5.33,3.39,44,1.64
581,Baz2b,"310,478",Group1,"3,308",5.49,3.52,105,2.02
582,Pkp4,"194,360",Group1,"2,291",5.29,3.36,45,1.65
583,Slc25a12,"96,688",Group1,"1,150",4.99,3.06,22,1.34
584,Zfp385b,"409,007",Group1,"4,221",5.61,3.63,7,0.85
585,Stk39,"261,825",Group1,"3,312",5.42,3.52,38,1.58
586,Itgav,"82,521",Group1,914,4.92,2.96,34,1.53
587,Mtx2,"52,630",Group1,329,4.72,2.52,28,1.45
588,Tcp11l1,"54,883",Group1,634,4.74,2.8,61,1.79
589,Hipk3,"67,967",Group1,630,4.83,2.8,68,1.83
590,Fbxo3,"35,521",Group1,336,4.55,2.53,20,1.3
591,Ttc17,"105,924",Group1,"1,159",5.02,3.06,45,1.65
592,Sema6d,"577,803",Group1,"4,033",5.76,3.61,14,1.15
593,Fbn1,"207,401",Group1,"2,271",5.32,3.36,17,1.23
594,Syt13,"40,962",Group1,453,4.61,2.66,33,1.52
595,Frmd5,"261,560",Group1,"2,780",5.42,3.44,42,1.62
596,Mtch2,"19,657",Group1,205,4.29,2.31,40,1.6
597,RP23-175J8.3,"200,208",Group1,"1,696",5.3,3.23,94,1.97
598,Slc23a2,"92,614",Group1,"1,094",4.97,3.04,63,1.8
599,Ndufaf5,"33,042",Group1,287,4.52,2.46,42,1.62
600,Ttl,"30,343",Group1,400,4.48,2.6,40,1.6
601,Pcsk2,"270,131",Group1,"2,100",5.43,3.32,65,1.81
602,Dtd1,"168,863",Group1,"1,611",5.23,3.21,15,1.18
603,Snta1,"31,788",Group1,354,4.5,2.55,36,1.56
604,Pkia,"78,699",Group1,429,4.9,2.63,39,1.59
605,Stmn2,"52,248",Group1,513,4.72,2.71,9,0.95
606,Tpd52,"79,132",Group1,"1,144",4.9,3.06,19,1.28
607,Pag1,"146,202",Group1,"1,751",5.16,3.24,32,1.51
608,Gnas,"62,426",Group1,"1,423",4.8,3.15,45,1.65
609,Phactr3,"219,519",Group1,"2,110",5.34,3.32,29,1.46
610,Atp9a,"107,973",Group1,"2,078",5.03,3.32,35,1.54
611,Dok5,"147,964",Group1,"2,043",5.17,3.31,43,1.63
612,Acss2,"67,778",Group1,573,4.83,2.76,34,1.53
613,Epb41l1,"122,307",Group1,"1,818",5.09,3.26,59,1.77
614,Tbl1xr1,"139,944",Group1,"1,097",5.15,3.04,118,2.07
615,Ctnnbl1,"154,215",Group1,"1,805",5.19,3.26,36,1.56
616,Zmat3,"31,224",Group1,460,4.49,2.66,36,1.56
617,Pex5l,"193,841",Group1,"1,576",5.29,3.2,60,1.78
618,Dcun1d1,"45,342",Group1,497,4.66,2.7,18,1.26
619,Mbnl1,"156,922",Group1,"1,332",5.2,3.12,7,0.85
620,Ppm1l,"243,943",Group1,"2,839",5.39,3.45,69,1.84
621,Nbea,"558,508",Group1,"3,980",5.75,3.6,52,1.72
622,Kcnab1,"268,841",Group1,"1,926",5.43,3.28,29,1.46
623,Serpini1,"85,950",Group1,490,4.93,2.69,90,1.95
624,Syt6,"70,340",Group1,866,4.85,2.94,71,1.85
625,Tpm3,"28,255",Group1,408,4.45,2.61,22,1.34
626,Adar,"38,426",Group1,519,4.58,2.72,17,1.23
627,Olfm3,"221,646",Group1,"1,192",5.35,3.08,11,1.04
628,Ndst4,"324,825",Group1,"1,679",5.51,3.23,13,1.11
629,Ndst3,"164,689",Group1,"1,394",5.22,3.14,47,1.67
630,Snx7,"87,291",Group1,695,4.94,2.84,32,1.51
631,Pdgfc,"177,626",Group1,"1,087",5.25,3.04,17,1.23
632,Kcnq5,"563,541",Group1,"3,336",5.75,3.52,54,1.73
633,Dnajb4,"31,793",Group1,332,4.5,2.52,136,2.13
634,Sh3d19,"159,419",Group1,"1,893",5.2,3.28,35,1.54
635,Rnf115,"63,976",Group1,421,4.81,2.62,41,1.61
636,Tmem56,"81,339",Group1,"1,015",4.91,3.01,17,1.23
637,Rap1gds1,"149,301",Group1,"1,498",5.17,3.18,116,2.06
638,Adgrl2,"174,974",Group1,"2,602",5.24,3.42,36,1.56
639,Asph,"221,277",Group1,"2,087",5.34,3.32,24,1.38
640,Calb1,"26,802",Group1,194,4.43,2.29,24,1.38
641,Mmp16,"266,254",Group1,"1,264",5.43,3.1,4,0.6
642,Rmdn1,"31,772",Group1,199,4.5,2.3,31,1.49
643,Faxc,"65,512",Group1,693,4.82,2.84,56,1.75
644,Tmeff1,"77,959",Group1,"1,127",4.89,3.05,65,1.81
645,Fmn2,"320,906",Group1,"2,214",5.51,3.35,19,1.28
646,Slc44a5,"298,288",Group1,"2,829",5.47,3.45,29,1.46
647,Astn2,"1,023,810",Group1,"6,072",6.01,3.78,15,1.18
648,Ptbp3,"77,498",Group1,602,4.89,2.78,68,1.83
649,Snx30,"98,899",Group1,"1,118",5,3.05,41,1.61
650,Ptprd,"2,270,725",Group1,"11,511",6.36,4.06,54,1.73
651,Mpdz,"164,317",Group1,"1,333",5.22,3.12,48,1.68
652,Zdhhc21,"61,222",Group1,503,4.79,2.7,16,1.2
653,Nfx1,"55,089",Group1,605,4.74,2.78,44,1.64
654,Rad23b,"42,196",Group1,353,4.63,2.55,76,1.88
655,Epb41l4b,"151,467",Group1,"2,028",5.18,3.31,79,1.9
656,Fam219a,"51,849",Group1,681,4.71,2.83,47,1.67
657,Unc13b,"205,920",Group1,"1,379",5.31,3.14,38,1.58
658,Sh3gl2,"434,071",Group1,"3,161",5.64,3.5,28,1.45
659,Prkaa2,"80,018",Group1,768,4.9,2.89,51,1.71
660,Dab1,"1,125,487",Group1,"9,209",6.05,3.96,21,1.32
661,Pde4b,"519,718",Group1,"3,702",5.72,3.57,21,1.32
662,Dnajc6,"146,153",Group1,"1,510",5.16,3.18,51,1.71
663,Jak1,"112,917",Group1,975,5.05,2.99,29,1.46
664,Cachd1,"252,547",Group1,"2,646",5.4,3.42,36,1.56
665,St3gal3,"202,762",Group1,"2,837",5.31,3.45,53,1.72
666,Elavl4,"148,189",Group1,"1,243",5.17,3.09,26,1.41
667,Atg4c,"65,855",Group1,784,4.82,2.89,16,1.2
668,Eps15,"107,551",Group1,756,5.03,2.88,30,1.48
669,Dock7,"184,246",Group1,"1,697",5.27,3.23,59,1.77
670,Osbpl9,"141,129",Group1,"1,370",5.15,3.14,19,1.28
671,Nfia,"346,142",Group1,"3,210",5.54,3.51,46,1.66
672,Hivep3,"404,263",Group1,"4,075",5.61,3.61,43,1.63
673,Macf1,"334,729",Group1,"2,829",5.52,3.45,24,1.38
674,Ephb2,"188,451",Group1,"3,011",5.28,3.48,74,1.87
675,Capzb,"98,921",Group1,"1,427",5,3.15,65,1.81
676,Kif17,"51,534",Group1,911,4.71,2.96,68,1.83
677,Eif4g3,"215,488",Group1,"3,024",5.33,3.48,35,1.54
678,Zcchc17,"44,562",Group1,556,4.65,2.75,54,1.73
679,Csmd2,"579,801",Group1,"6,817",5.76,3.83,74,1.87
680,Epha10,"36,903",Group1,667,4.57,2.82,29,1.46
681,Stx12,"31,010",Group1,313,4.49,2.5,50,1.7
682,Sema3a,"477,153",Group1,"2,519",5.68,3.4,17,1.23
683,Eya3,"85,780",Group1,863,4.93,2.94,38,1.58
684,Inpp5b,"59,663",Group1,780,4.78,2.89,39,1.59
685,Epb41,"151,910",Group1,"1,623",5.18,3.21,42,1.62
686,Fbxo42,"56,151",Group1,761,4.75,2.88,52,1.72
687,Cdk14,"616,923",Group1,"4,932",5.79,3.69,13,1.11
688,Acot7,"93,723",Group1,"1,244",4.97,3.09,103,2.01
689,Prkag2,"237,900",Group1,"3,047",5.38,3.48,86,1.93
690,Smarcd3,"33,595",Group1,689,4.53,2.84,42,1.62
691,Ube4b,"98,335",Group1,"1,533",4.99,3.19,34,1.53
692,Mtor,"109,074",Group1,"1,481",5.04,3.17,50,1.7
693,Prkcz,"101,234",Group1,"1,571",5.01,3.2,77,1.89
694,Gnb1,"67,910",Group1,688,4.83,2.84,52,1.72
695,Kcnip4,"1,135,407",Group1,"5,704",6.06,3.76,37,1.57
696,Sorcs2,"380,961",Group1,"3,969",5.58,3.6,40,1.6
697,Ablim2,"127,095",Group1,"1,498",5.1,3.18,57,1.76
698,Htt,"150,796",Group1,995,5.18,3,49,1.69
699,Add1,"58,646",Group1,652,4.77,2.81,38,1.58
700,Pcdh7,"415,265",Group1,"2,583",5.62,3.41,111,2.05
701,Ppp2r2c,"86,567",Group1,"1,238",4.94,3.09,50,1.7
702,Rab28,"83,183",Group1,464,4.92,2.67,33,1.52
703,Mapre3,"51,467",Group1,555,4.71,2.74,43,1.63
704,Ppargc1a,"113,478",Group1,833,5.05,2.92,22,1.34
705,Tbc1d1,"195,183",Group1,"2,376",5.29,3.38,17,1.23
706,Tbc1d14,"102,674",Group1,"1,069",5.01,3.03,22,1.34
707,Nsun7,"38,131",Group1,483,4.58,2.68,19,1.28
708,Apbb2,"320,083",Group1,"4,167",5.51,3.62,89,1.95
709,Gabra4,"88,561",Group1,581,4.95,2.76,22,1.34
710,Gabrb1,"490,926",Group1,"2,963",5.69,3.47,74,1.87
711,Lnx1,"110,467",Group1,"1,209",5.04,3.08,40,1.6
712,Epha5,"362,623",Group1,"1,957",5.56,3.29,50,1.7
713,Fam69a,"79,034",Group1,640,4.9,2.81,85,1.93
714,Brdt,"55,901",Group1,499,4.75,2.7,31,1.49
715,Tgfbr3,"183,061",Group1,"2,221",5.26,3.35,41,1.61
716,Rufy3,"86,354",Group1,"1,045",4.94,3.02,76,1.88
717,Sparcl1,"34,624",Group1,408,4.54,2.61,47,1.67
718,Cds1,"58,730",Group1,938,4.77,2.97,67,1.83
719,Rilpl1,"38,313",Group1,692,4.58,2.84,42,1.62
720,Cdkl2,"37,811",Group1,322,4.58,2.51,19,1.28
721,Rimbp2,"195,697",Group1,"2,411",5.29,3.38,24,1.38
722,Scarb2,"65,521",Group1,876,4.82,2.94,16,1.2
723,Vps33a,"44,381",Group1,615,4.65,2.79,35,1.54
724,Mmp17,"26,932",Group1,536,4.43,2.73,69,1.84
725,Sfswap,"70,165",Group1,874,4.85,2.94,52,1.72
726,Fam168a,"135,023",Group1,957,5.13,2.98,38,1.58
727,Camkk2,"48,241",Group1,913,4.68,2.96,80,1.9
728,Kdm2b,"119,160",Group1,"1,912",5.08,3.28,35,1.54
729,Ep400,"106,346",Group1,819,5.03,2.91,53,1.72
730,Cit,"163,671",Group1,"3,351",5.21,3.53,55,1.74
731,St7,"250,094",Group1,"2,059",5.4,3.31,16,1.2
732,Cabp1,"25,694",Group1,642,4.41,2.81,40,1.6
733,Mad1l1,"312,865",Group1,"2,978",5.5,3.47,47,1.67
734,Foxp2,"540,630",Group1,"3,141",5.73,3.5,83,1.92
735,Rph3a,"69,595",Group1,819,4.84,2.91,20,1.3
736,Cdk8,"71,646",Group1,835,4.86,2.92,67,1.83
737,Wasf3,"88,632",Group1,"1,164",4.95,3.07,35,1.54
738,Mtus2,"358,747",Group1,"4,431",5.55,3.65,53,1.72
739,Hsph1,"22,091",Group1,352,4.34,2.55,60,1.78
740,Rbm28,"41,432",Group1,482,4.62,2.68,22,1.34
741,Cux1,"319,357",Group1,"2,972",5.5,3.47,148,2.17
742,Dync1i1,"302,402",Group1,"3,024",5.48,3.48,13,1.11
743,Exoc4,"724,896",Group1,"4,948",5.86,3.69,40,1.6
744,Plxna4,"443,926",Group1,"3,701",5.65,3.57,47,1.67
745,Ccdc136,"30,687",Group1,399,4.49,2.6,25,1.4
746,Ahcyl2,"144,301",Group1,"1,114",5.16,3.05,32,1.51
747,Gars,"41,495",Group1,521,4.62,2.72,46,1.66
748,Herc3,"88,935",Group1,857,4.95,2.93,31,1.49
749,Osbpl3,"162,873",Group1,"2,053",5.21,3.31,49,1.69
750,Ptn,"95,293",Group1,658,4.98,2.82,18,1.26
751,Agk,"71,592",Group1,529,4.85,2.72,12,1.08
752,Slc37a3,"42,904",Group1,504,4.63,2.7,40,1.6
753,Prickle2,"335,249",Group1,"2,614",5.53,3.42,37,1.57
754,Frmd4b,"330,676",Group1,"3,708",5.52,3.57,55,1.74
755,Foxp1,"597,385",Group1,"7,175",5.78,3.86,78,1.89
756,RP23-133N21.3,"409,315",Group1,"4,792",5.61,3.68,42,1.62
757,Cntn3,"410,448",Group1,"2,280",5.61,3.36,50,1.7
758,Chl1,"239,627",Group1,"1,542",5.38,3.19,15,1.18
759,Chchd6,"212,508",Group1,"1,160",5.33,3.06,19,1.28
760,Cntn6,"370,618",Group1,"1,631",5.57,3.21,14,1.15
761,Itpr1,"338,015",Group1,"3,737",5.53,3.57,61,1.79
762,Tmcc1,"174,877",Group1,"1,046",5.24,3.02,53,1.72
763,Erc1,"277,373",Group1,"1,878",5.44,3.27,73,1.86
764,Etv6,"234,460",Group1,"3,202",5.37,3.51,94,1.97
765,Rerg,"115,674",Group1,"1,452",5.06,3.16,26,1.41
766,Rassf8,"74,333",Group1,853,4.87,2.93,73,1.86
767,Kras,"33,542",Group1,347,4.53,2.54,100,2
768,Bcat1,"82,351",Group1,"1,103",4.92,3.04,27,1.43
769,Etnk1,"65,088",Group1,931,4.81,2.97,83,1.92
770,C2cd5,"89,223",Group1,"1,094",4.95,3.04,36,1.56
771,St8sia1,"142,909",Group1,"1,611",5.16,3.21,60,1.78
772,Far2,"135,501",Group1,"1,125",5.13,3.05,17,1.23
773,Tmtc1,"211,961",Group1,"1,447",5.33,3.16,45,1.65
774,Dennd5b,"113,611",Group1,787,5.06,2.9,42,1.62
775,Atg7,"217,519",Group1,"2,123",5.34,3.33,25,1.4
776,Uri1,"63,561",Group1,637,4.8,2.8,20,1.3
777,Cyfip1,"90,859",Group1,"1,012",4.96,3.01,18,1.26
778,Herc2,"181,606",Group1,"1,315",5.26,3.12,48,1.68
779,Psd3,"522,947",Group1,"3,635",5.72,3.56,12,1.08
780,Tjp1,"231,618",Group1,"2,575",5.36,3.41,63,1.8
781,Fam189a1,"400,481",Group1,"3,871",5.6,3.59,66,1.82
782,Apba2,"252,174",Group1,"2,577",5.4,3.41,27,1.43
783,Chrna7,"113,879",Group1,808,5.06,2.91,27,1.43
784,Iqgap1,"114,393",Group1,"1,468",5.06,3.17,18,1.26
785,Mef2a,"141,697",Group1,930,5.15,2.97,83,1.92
786,Sytl2,"108,469",Group1,920,5.04,2.96,27,1.43
787,Me3,"221,969",Group1,"1,961",5.35,3.29,11,1.04
788,Sh3gl3,"133,581",Group1,"1,691",5.13,3.23,11,1.04
789,Rab30,"102,934",Group1,"1,021",5.01,3.01,60,1.78
790,Smg1,"112,364",Group1,769,5.05,2.89,64,1.81
791,Xylt1,"292,603",Group1,"2,832",5.47,3.45,50,1.7
792,Pik3c2a,"106,186",Group1,858,5.03,2.93,68,1.83
793,Ipo5,"36,777",Group1,547,4.57,2.74,104,2.02
794,Pde3b,"123,972",Group1,752,5.09,2.88,62,1.79
795,Sez6l2,"20,045",Group1,276,4.3,2.44,76,1.88
796,Fchsd2,"191,544",Group1,"1,200",5.28,3.08,20,1.3
797,Rab6a,"33,860",Group1,305,4.53,2.48,29,1.46
798,Mrpl48,"62,552",Group1,587,4.8,2.77,37,1.57
799,Ppme1,"45,572",Group1,312,4.66,2.49,45,1.65
800,Pgm2l1,"51,476",Group1,437,4.71,2.64,37,1.57
