gene_id,group,mc_type,var_dim,gene_type,Correlation_5mC,new.P.value_5mC,new.P.adjust_5mC,Correlation_5hmC,new.P.value_5hmC,new.P.adjust_5hmC,Correlation_mC_hmC,new.P.value_mC_hmC,new.P.adjust_mC_hmC,gene_name,Gene_length,Cpg_number
ENSMUSG00000051065.9,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.13 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.12 ,0.00 ,0.00 ,Mb21d2,"103,499","1,753"
ENSMUSG00000051098.6,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.04 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,Mblac2,"41,936",380
ENSMUSG00000051111.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.18 ,0.00 ,0.00 ,0.11 ,0.00 ,0.00 ,-0.11 ,0.00 ,0.00 ,Sv2c,"177,985","1,871"
ENSMUSG00000051177.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.20 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,-0.19 ,0.00 ,0.00 ,Plcb1,"689,193","4,535"
ENSMUSG00000051236.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) +],CG,genebody,all_gene,-0.03 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,0.01 ,0.01 ,0.01 ,Msrb3,"118,007","1,931"
ENSMUSG00000051331.15,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.26 ,0.00 ,0.00 ,-0.05 ,0.00 ,0.00 ,-0.32 ,0.00 ,0.00 ,Cacna1c,"609,180","6,982"
ENSMUSG00000051359.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.30 ,0.00 ,0.00 ,0.16 ,0.00 ,0.00 ,-0.25 ,0.00 ,0.00 ,Ncald,"426,397","3,888"
ENSMUSG00000051375.15,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.04 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.06 ,0.00 ,0.00 ,Pcdh1,"26,141",626
ENSMUSG00000051379.12,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.07 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,-0.09 ,0.00 ,0.00 ,Flrt3,"20,557",230
ENSMUSG00000051391.9,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.05 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.07 ,0.00 ,0.00 ,Ywhag,"26,209",459
ENSMUSG00000051401.6,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.47 ,0.00 ,0.00 ,0.18 ,0.00 ,0.00 ,-0.41 ,0.00 ,0.00 ,Kctd16,"272,809","1,502"
ENSMUSG00000051527.11,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.06 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,Usp29,"236,643","2,048"
ENSMUSG00000051586.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.16 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,-0.12 ,0.00 ,0.00 ,Mical3,"199,294","3,355"
ENSMUSG00000051674.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.04 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,Dcun1d4,"79,796","1,124"
ENSMUSG00000051853.10,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.03 ,0.00 ,0.00 ,-0.01 ,0.03 ,0.04 ,-0.05 ,0.00 ,0.00 ,Arf3,"26,582",416
ENSMUSG00000051864.10,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.06 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,Tbc1d22a,"284,046","2,961"
ENSMUSG00000051910.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.28 ,0.00 ,0.00 ,0.18 ,0.00 ,0.00 ,-0.17 ,0.00 ,0.00 ,Sox6,"567,926","4,015"
ENSMUSG00000051950.10,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.08 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,-0.05 ,0.00 ,0.00 ,B3glct,"84,371","1,230"
ENSMUSG00000051951.5,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.33 ,0.00 ,0.00 ,0.28 ,0.00 ,0.00 ,-0.14 ,0.00 ,0.00 ,Xkr4,"465,599","2,266"
ENSMUSG00000052040.10,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.05 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,-0.06 ,0.00 ,0.00 ,Klf13,"52,566",853
ENSMUSG00000052062.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.05 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,Pard3b,"1,003,462","6,533"
ENSMUSG00000052105.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.26 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.24 ,0.00 ,0.00 ,Mtcl1,"112,770","2,039"
ENSMUSG00000052139.18,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.05 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,Bre,"387,280","2,736"
ENSMUSG00000052155.5,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.13 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.12 ,0.00 ,0.00 ,Acvr2a,"89,162",553
ENSMUSG00000052298.12,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.03 ,0.00 ,0.00 ,-0.01 ,0.03 ,0.04 ,-0.04 ,0.00 ,0.00 ,Cdc42se2,"70,221",576
ENSMUSG00000052331.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.07 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,Ankrd44,"281,049","2,395"
ENSMUSG00000052353.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.20 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,-0.20 ,0.00 ,0.00 ,Cemip,"153,647","1,106"
ENSMUSG00000052374.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.28 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.29 ,0.00 ,0.00 ,Actn2,"71,336",880
ENSMUSG00000052387.15,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.07 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.12 ,0.00 ,0.00 ,Trpm3,"850,767","6,379"
ENSMUSG00000052430.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.25 ,0.00 ,0.00 ,0.16 ,0.00 ,0.00 ,-0.16 ,0.00 ,0.00 ,Bmpr1b,"332,291","2,591"
ENSMUSG00000052479.5,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.11 ,0.00 ,0.00 ,0.10 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,AC140724.2,"316,798","1,531"
ENSMUSG00000052504.7,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.22 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,-0.23 ,0.00 ,0.00 ,Epha3,"320,643","1,945"
ENSMUSG00000052512.17,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.15 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,-0.12 ,0.00 ,0.00 ,Nav2,"701,376","8,125"
ENSMUSG00000052516.19,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.20 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,-0.17 ,0.00 ,0.00 ,Robo2,"519,988","3,263"
ENSMUSG00000052534.15,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.27 ,0.00 ,0.00 ,-0.14 ,0.00 ,0.00 ,-0.34 ,0.00 ,0.00 ,Pbx1,"312,908","3,385"
ENSMUSG00000052539.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.17 ,0.00 ,0.00 ,0.10 ,0.00 ,0.00 ,-0.11 ,0.00 ,0.00 ,Magi3,"207,117","1,304"
ENSMUSG00000052544.9,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.08 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,-0.13 ,0.00 ,0.00 ,St6galnac3,"526,910","6,275"
ENSMUSG00000052551.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.44 ,0.00 ,0.00 ,0.14 ,0.00 ,0.00 ,-0.43 ,0.00 ,0.00 ,Adarb2,"565,883","4,092"
ENSMUSG00000052560.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.18 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 ,-0.13 ,0.00 ,0.00 ,Cpne8,"191,952","1,889"
ENSMUSG00000052572.17,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.08 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.07 ,0.00 ,0.00 ,Dlg2,"1,972,577","10,369"
ENSMUSG00000052581.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.44 ,0.00 ,0.00 ,0.32 ,0.00 ,0.00 ,-0.28 ,0.00 ,0.00 ,Lrrtm4,"791,268","3,842"
ENSMUSG00000052613.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.35 ,0.00 ,0.00 ,0.34 ,0.00 ,0.00 ,-0.08 ,0.00 ,0.00 ,Pcdh15,"1,550,397","8,939"
ENSMUSG00000052632.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.19 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,-0.16 ,0.00 ,0.00 ,Asap2,"279,714","3,003"
ENSMUSG00000052698.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.10 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.09 ,0.00 ,0.00 ,Tln2,"342,618","3,255"
ENSMUSG00000052707.8,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.04 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,Tnrc6a,"71,413",694
ENSMUSG00000052713.8,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.22 ,0.00 ,0.00 ,-0.06 ,0.00 ,0.00 ,-0.26 ,0.00 ,0.00 ,Zfp608,"102,137","1,174"
ENSMUSG00000052726.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.36 ,0.00 ,0.00 ,0.26 ,0.00 ,0.00 ,-0.20 ,0.00 ,0.00 ,Kcnt2,"365,911","1,683"
ENSMUSG00000052727.6,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.18 ,0.00 ,0.00 ,-0.07 ,0.00 ,0.00 ,-0.21 ,0.00 ,0.00 ,Map1b,"95,096","1,355"
ENSMUSG00000052852.8,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.06 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,Reep1,"103,151","1,095"
ENSMUSG00000052889.11,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.42 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,-0.40 ,0.00 ,0.00 ,Prkcb,"345,653","3,829"
ENSMUSG00000052920.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.28 ,0.00 ,0.00 ,0.14 ,0.00 ,0.00 ,-0.24 ,0.00 ,0.00 ,Prkg1,"1,197,484","8,503"
ENSMUSG00000052928.8,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.11 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.09 ,0.00 ,0.00 ,Ctif,"266,474","3,508"
ENSMUSG00000052942.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.22 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.26 ,0.00 ,0.00 ,Glis3,"421,228","4,653"
ENSMUSG00000052981.6,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.08 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.10 ,0.00 ,0.00 ,Ube2ql1,"37,059",554
ENSMUSG00000053025.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.45 ,0.00 ,0.00 ,0.17 ,0.00 ,0.00 ,-0.40 ,0.00 ,0.00 ,Sv2b,"194,370","1,441"
ENSMUSG00000053046.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.07 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.06 ,0.00 ,0.00 ,Brsk2,"54,498",644
ENSMUSG00000053119.11,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.03 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.02 ,0.01 ,0.01 ,Chmp3,"38,814",319
ENSMUSG00000053141.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.47 ,0.00 ,0.00 ,0.43 ,0.00 ,0.00 ,-0.20 ,0.00 ,0.00 ,Ptprt,"1,139,159","8,111"
ENSMUSG00000053166.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.07 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,Cdh22,"123,348","2,141"
ENSMUSG00000053199.13,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.10 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,-0.12 ,0.00 ,0.00 ,Arhgap20,"88,521",973
ENSMUSG00000053289.8,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.03 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,Ddx10,"149,420",809
ENSMUSG00000053310.11,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.20 ,0.00 ,0.00 ,-0.05 ,0.00 ,0.00 ,-0.22 ,0.00 ,0.00 ,Nrgn,"8,414",168
ENSMUSG00000053395.15,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.10 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,-0.13 ,0.00 ,0.00 ,Cacng8,"24,967",466
ENSMUSG00000053414.8,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.26 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,-0.24 ,0.00 ,0.00 ,Hunk,"113,542","1,799"
ENSMUSG00000053465.6,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.61 ,0.00 ,0.00 ,0.39 ,0.00 ,0.00 ,-0.49 ,0.00 ,0.00 ,Hs6st3,"731,476","6,507"
ENSMUSG00000053470.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.04 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,Kdm3a,"44,020",385
ENSMUSG00000053477.17,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.54 ,0.00 ,0.00 ,-0.23 ,0.00 ,0.00 ,-0.57 ,0.00 ,0.00 ,Tcf4,"345,725","4,616"
ENSMUSG00000053519.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.29 ,0.00 ,0.00 ,0.15 ,0.00 ,0.00 ,-0.21 ,0.00 ,0.00 ,Kcnip1,"363,815","3,536"
ENSMUSG00000053553.11,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.08 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.06 ,0.00 ,0.00 ,3110082I17Rik,"100,790","1,628"
ENSMUSG00000053580.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.08 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.08 ,0.00 ,0.00 ,Tanc2,"339,320","1,858"
ENSMUSG00000053617.11,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.05 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,Sh3pxd2a,"204,239","3,313"
ENSMUSG00000053641.9,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.11 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,-0.06 ,0.00 ,0.00 ,Dennd4a,"108,329",879
ENSMUSG00000053693.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.05 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,Mast1,"25,458",580
ENSMUSG00000053702.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.29 ,0.00 ,0.00 ,0.10 ,0.00 ,0.00 ,-0.27 ,0.00 ,0.00 ,Nebl,"387,557","2,832"
ENSMUSG00000053768.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.05 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,Chchd3,"269,286","2,023"
ENSMUSG00000053799.6,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.06 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,Exoc6,"132,829","1,556"
ENSMUSG00000053819.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.31 ,0.00 ,0.00 ,0.20 ,0.00 ,0.00 ,-0.19 ,0.00 ,0.00 ,Camk2d,"250,026","2,238"
ENSMUSG00000053930.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.58 ,0.00 ,0.00 ,0.12 ,0.00 ,0.00 ,-0.61 ,0.00 ,0.00 ,Shisa6,"314,241","2,150"
ENSMUSG00000053963.7,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.17 ,0.00 ,0.00 ,-0.01 ,0.03 ,0.04 ,-0.19 ,0.00 ,0.00 ,AC121838.2,"51,119",663
ENSMUSG00000054051.7,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.04 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,Ercc6,"67,471",733
ENSMUSG00000054162.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.34 ,0.00 ,0.00 ,0.25 ,0.00 ,0.00 ,-0.18 ,0.00 ,0.00 ,Spock3,"406,096","1,815"
ENSMUSG00000054263.12,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.10 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,-0.07 ,0.00 ,0.00 ,Lifr,"106,877","1,548"
ENSMUSG00000054280.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.06 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.05 ,0.00 ,0.00 ,Prr14l,"64,438",579
ENSMUSG00000054423.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.22 ,0.00 ,0.00 ,0.13 ,0.00 ,0.00 ,-0.15 ,0.00 ,0.00 ,Cadps,"450,518","3,126"
ENSMUSG00000054434.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.01 ,0.03 ,0.05 ,Tmem120b,"49,336",744
ENSMUSG00000054459.8,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.26 ,0.00 ,0.00 ,0.15 ,0.00 ,0.00 ,-0.18 ,0.00 ,0.00 ,Vsnl1,"111,373",749
ENSMUSG00000054477.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.16 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.17 ,0.00 ,0.00 ,Kcnn2,"417,166","3,014"
ENSMUSG00000054555.11,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.11 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.10 ,0.00 ,0.00 ,Adam12,"348,949","3,031"
ENSMUSG00000054640.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.36 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,-0.35 ,0.00 ,0.00 ,Slc8a1,"260,918","2,015"
ENSMUSG00000054693.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.04 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,Adam10,"101,234",570
ENSMUSG00000054720.12,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.09 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,-0.07 ,0.00 ,0.00 ,Lrrc8c,"93,632","1,134"
ENSMUSG00000054728.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.59 ,0.00 ,0.00 ,0.13 ,0.00 ,0.00 ,-0.55 ,0.00 ,0.00 ,Phactr1,"457,905","4,850"
ENSMUSG00000054733.9,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.16 ,0.00 ,0.00 ,-0.10 ,0.00 ,0.00 ,-0.22 ,0.00 ,0.00 ,Msra,"333,280","2,754"
ENSMUSG00000054814.14,[5mCG -]:[5hmCG -]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.08 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,-0.10 ,0.00 ,0.00 ,Usp46,"69,980",916
ENSMUSG00000054823.16,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.03 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.01 ,0.02 ,0.03 ,Nsd3,"118,068","1,376"
ENSMUSG00000054843.8,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.22 ,0.00 ,0.00 ,0.16 ,0.00 ,0.00 ,-0.15 ,0.00 ,0.00 ,Atrnl1,"522,306","6,187"
ENSMUSG00000054863.9,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.23 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.23 ,0.00 ,0.00 ,Fam19a5,"215,067","2,583"
ENSMUSG00000054885.11,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.30 ,0.00 ,0.00 ,0.15 ,0.00 ,0.00 ,-0.24 ,0.00 ,0.00 ,RP23-411B7.2,"110,705","1,096"
ENSMUSG00000054942.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.04 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,Fam73a,"66,560","1,115"
ENSMUSG00000054976.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.20 ,0.00 ,0.00 ,0.14 ,0.00 ,0.00 ,-0.10 ,0.00 ,0.00 ,Nyap2,"264,816","1,349"
ENSMUSG00000055013.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.16 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,-0.13 ,0.00 ,0.00 ,Agap1,"442,813","6,273"
ENSMUSG00000055022.14,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.07 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,Cntn1,"290,804","2,254"
ENSMUSG00000055026.13,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.43 ,0.00 ,0.00 ,0.35 ,0.00 ,0.00 ,-0.21 ,0.00 ,0.00 ,Gabrg3,"670,725","3,876"
ENSMUSG00000055067.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) +],CG,genebody,all_gene,-0.11 ,0.00 ,0.00 ,0.14 ,0.00 ,0.00 ,0.02 ,0.00 ,0.01 ,Smyd3,"566,083","6,445"
ENSMUSG00000055116.8,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.10 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,-0.08 ,0.00 ,0.00 ,Arntl,"106,663","1,195"
ENSMUSG00000055204.15,[5mCG -]:[5hmCG +]:[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.03 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,Ankrd17,"139,413","1,013"
