"gene_id","gene_name","type","Gene_length","Cpg_number"
"ENSMUSG00000027775.9","Mfsd1","geneslop2k",25497,316
"ENSMUSG00000103206.1","RP23-245M20.4","geneslop2k",4576,45
"ENSMUSG00000103606.1","RP23-245M20.5","geneslop2k",4948,45
"ENSMUSG00000102746.1","RP23-255H8.1","geneslop2k",4394,0
"ENSMUSG00000104477.1","RP23-255H8.3","geneslop2k",5330,13
"ENSMUSG00000051777.6","Iqcj","geneslop2k",168374,761
"ENSMUSG00000102422.1","RP24-100C12.5","geneslop2k",738235,4085
"ENSMUSG00000027777.15","Schip1","geneslop2k",565680,3295
"ENSMUSG00000102846.1","RP24-210G2.2","geneslop2k",4585,17
"ENSMUSG00000103345.1","RP23-25J21.1","geneslop2k",10918,54
"ENSMUSG00000084617.1","Gm22073","geneslop2k",4189,22
"ENSMUSG00000027776.12","Il12a","geneslop2k",11904,129
"ENSMUSG00000058360.5","Gm10040","geneslop2k",8941,17
"ENSMUSG00000102677.1","RP24-399B3.6","geneslop2k",5528,42
"ENSMUSG00000102936.1","RP24-399B3.7","geneslop2k",5173,52
"ENSMUSG00000102853.1","RP24-399B3.8","geneslop2k",5325,41
"ENSMUSG00000103218.1","RP24-399B3.9","geneslop2k",5328,41
"ENSMUSG00000091272.2","RP24-399B3.11","geneslop2k",6350,213
"ENSMUSG00000046999.2","RP24-399B3.5","geneslop2k",6578,209
"ENSMUSG00000027778.15","Ift80","geneslop2k",116072,705
"ENSMUSG00000093384.1","RP24-399B3.3","geneslop2k",4279,34
"ENSMUSG00000103007.1","RP24-399B3.10","geneslop2k",4355,40
"ENSMUSG00000093730.1","RP24-399B3.4","geneslop2k",4315,40
"ENSMUSG00000093402.1","RP24-399B3.2","geneslop2k",4492,37
"ENSMUSG00000093505.1","RP24-399B3.1","geneslop2k",4333,31
"ENSMUSG00000111756.1","RP23-113K14.1","geneslop2k",4825,35
"ENSMUSG00000034349.14","Smc4","geneslop2k",33886,316
"ENSMUSG00000065580.2","Mir15b","geneslop2k",4064,20
"ENSMUSG00000065606.1","Mir16-2","geneslop2k",4095,20
"ENSMUSG00000034317.14","Trim59","geneslop2k",13468,183
"ENSMUSG00000027782.10","Kpna4","geneslop2k",63965,325
"ENSMUSG00000089417.1","Gm22009","geneslop2k",4343,15
"ENSMUSG00000103094.1","RP23-46L5.1","geneslop2k",6983,13
"ENSMUSG00000094763.3","RP23-46L5.4","geneslop2k",29945,154
"ENSMUSG00000098207.1","Arl14","geneslop2k",5200,55
"ENSMUSG00000027784.10","Ppm1l","geneslop2k",247942,2169
"ENSMUSG00000091315.1","RP23-340E10.2","geneslop2k",4541,75
"ENSMUSG00000090941.1","RP23-340E10.1","geneslop2k",4259,62
"ENSMUSG00000090743.1","RP23-340E10.4","geneslop2k",5360,49
"ENSMUSG00000098006.1","RP23-174B18.1","geneslop2k",5014,34
"ENSMUSG00000043300.2","B3galnt1","geneslop2k",28803,287
"ENSMUSG00000102342.1","RP24-397C18.1","geneslop2k",4397,8
"ENSMUSG00000087848.1","Gm25621","geneslop2k",4114,10
"ENSMUSG00000068969.2","Rpl32-ps","geneslop2k",4506,39
"ENSMUSG00000027787.14","Nmd3","geneslop2k",38389,204
"ENSMUSG00000043461.13","Sptssb","geneslop2k",44399,246
"ENSMUSG00000103549.1","RP24-347B22.2","geneslop2k",4874,12
"ENSMUSG00000077366.1","Gm23484","geneslop2k",4131,40
"ENSMUSG00000102525.1","RP23-396I19.1","geneslop2k",4189,51
"ENSMUSG00000027788.6","Otol1","geneslop2k",25096,174
"ENSMUSG00000103020.1","RP23-409M14.1","geneslop2k",4727,13
"ENSMUSG00000103113.1","RP23-409M14.2","geneslop2k",4280,19
"ENSMUSG00000089507.1","Gm23477","geneslop2k",4128,8
"ENSMUSG00000102663.1","RP23-453A2.1","geneslop2k",4559,5
"ENSMUSG00000104023.1","RP23-453A2.2","geneslop2k",5035,20
"ENSMUSG00000074877.3","Gm10780","geneslop2k",4289,4
"ENSMUSG00000097252.1","Gm6634","geneslop2k",38913,62
"ENSMUSG00000102666.1","RP24-383D8.1","geneslop2k",4457,0
"ENSMUSG00000103396.1","RP24-360M7.1","geneslop2k",4441,11
"ENSMUSG00000103815.1","RP24-187P10.1","geneslop2k",8606,12
"ENSMUSG00000098189.1","RP23-281M6.1","geneslop2k",4965,6
"ENSMUSG00000103465.1","RP23-281M6.2","geneslop2k",4159,11
"ENSMUSG00000103279.1","RP23-355G8.1","geneslop2k",4505,17
"ENSMUSG00000103859.1","RP23-359D10.1","geneslop2k",4219,9
"ENSMUSG00000098869.1","Gm27465","geneslop2k",4091,6
"ENSMUSG00000103078.1","RP24-499L10.1","geneslop2k",4514,22
"ENSMUSG00000084752.1","Gm22451","geneslop2k",4151,13
"ENSMUSG00000027790.14","Sis","geneslop2k",83307,308
"ENSMUSG00000102753.1","RP24-169F23.2","geneslop2k",5865,20
"ENSMUSG00000048304.8","Slitrk3","geneslop2k",14539,231
"ENSMUSG00000103428.1","RP23-275B16.1","geneslop2k",532515,994
"ENSMUSG00000077050.1","Gm24544","geneslop2k",4110,9
"ENSMUSG00000102916.1","RP23-275B16.2","geneslop2k",6125,4
"ENSMUSG00000088794.1","Gm22538","geneslop2k",4299,13
"ENSMUSG00000102820.1","RP24-74B11.1","geneslop2k",144581,217
"ENSMUSG00000102362.1","RP24-369K4.1","geneslop2k",134446,224
"ENSMUSG00000027792.11","Bche","geneslop2k",76608,214
"ENSMUSG00000102859.1","RP23-20B1.1","geneslop2k",5077,5
"ENSMUSG00000104096.1","RP23-20B1.2","geneslop2k",12061,10
"ENSMUSG00000096400.2","RP23-277N17.1","geneslop2k",4330,17
"ENSMUSG00000104227.1","RP24-199C12.1","geneslop2k",4466,8
"ENSMUSG00000102809.1","RP23-78J18.1","geneslop2k",4625,29
"ENSMUSG00000102420.1","RP24-204F1.1","geneslop2k",6220,9
"ENSMUSG00000034151.13","Zbbx","geneslop2k",131128,309
"ENSMUSG00000034139.4","Serpini2","geneslop2k",31709,92
"ENSMUSG00000104301.3","Wdr49","geneslop2k",211169,384
"ENSMUSG00000103444.1","RP23-411I8.1","geneslop2k",5302,37
"ENSMUSG00000027835.11","Pdcd10","geneslop2k",44367,281
"ENSMUSG00000027834.15","Serpini1","geneslop2k",89949,422
"ENSMUSG00000102625.1","RP24-105B23.2","geneslop2k",8014,40
"ENSMUSG00000099370.1","Platr10","geneslop2k",12286,13
"ENSMUSG00000102188.1","RP24-536C4.1","geneslop2k",4513,16
"ENSMUSG00000088638.1","Gm25846","geneslop2k",4135,11
"ENSMUSG00000100962.3","RP23-426C11.1","geneslop2k",43457,104
"ENSMUSG00000034109.15","Golim4","geneslop2k",85866,583
"ENSMUSG00000103024.1","RP23-30D21.3","geneslop2k",6177,60
"ENSMUSG00000104448.1","RP23-30D21.1","geneslop2k",49036,191
"ENSMUSG00000104223.1","RP23-21K2.1","geneslop2k",4791,17
"ENSMUSG00000034098.14","Fstl5","geneslop2k",639750,1203
"ENSMUSG00000103920.1","RP23-476G18.2","geneslop2k",7561,13
"ENSMUSG00000103702.1","RP23-381H21.1","geneslop2k",4339,6
"ENSMUSG00000102216.1","RP23-381H21.2","geneslop2k",4830,8
"ENSMUSG00000088481.1","Gm23644","geneslop2k",4077,11
"ENSMUSG00000102489.1","Dnmt3a-ps1","geneslop2k",5271,26
"ENSMUSG00000103849.1","RP23-35F4.2","geneslop2k",10387,27
"ENSMUSG00000102872.1","RP23-30D1.1","geneslop2k",5499,3
"ENSMUSG00000102393.1","RP23-349L11.1","geneslop2k",4372,3
"ENSMUSG00000105026.1","RP23-257I21.2","geneslop2k",5413,13
"ENSMUSG00000103312.1","RP23-257I21.1","geneslop2k",4441,38
"ENSMUSG00000102637.1","RP23-23B15.1","geneslop2k",5564,9
"ENSMUSG00000103817.1","RP23-23B15.2","geneslop2k",4950,17
"ENSMUSG00000104782.1","RP23-399J17.1","geneslop2k",5638,16
"ENSMUSG00000084370.3","AC133938.1","geneslop2k",5830,31
"ENSMUSG00000102341.1","RP23-281G14.1","geneslop2k",4846,35
"ENSMUSG00000088463.1","Gm24749","geneslop2k",4343,20
"ENSMUSG00000102438.1","RP24-247N18.1","geneslop2k",4667,20
"ENSMUSG00000091361.2","RP24-247N18.2","geneslop2k",4556,40
"ENSMUSG00000070443.6","RP24-247N18.3","geneslop2k",4999,70
"ENSMUSG00000037096.6","RP23-192D6.1","geneslop2k",4444,71
"ENSMUSG00000077487.1","Gm23440","geneslop2k",4130,12
"ENSMUSG00000062232.14","Rapgef2","geneslop2k",228002,1957
"ENSMUSG00000064693.1","Gm24150","geneslop2k",4104,33
"ENSMUSG00000104585.1","RP24-253I2.4","geneslop2k",44995,368
"ENSMUSG00000102545.1","RP24-253I2.1","geneslop2k",6676,221
"ENSMUSG00000091685.6","RP24-530L11.1","geneslop2k",131469,854
"ENSMUSG00000061175.11","Fnip2","geneslop2k",115823,1028
"ENSMUSG00000089746.1","AC113945.3","geneslop2k",4880,41
"ENSMUSG00000068957.1","RP24-96D10.2","geneslop2k",8389,91
"ENSMUSG00000103564.1","RP24-96D10.3","geneslop2k",4647,20
"ENSMUSG00000027804.13","Ppid","geneslop2k",16309,175
"ENSMUSG00000027809.14","Etfdh","geneslop2k",29713,230
"ENSMUSG00000102370.1","RP24-96D10.4","geneslop2k",5289,24
"ENSMUSG00000027811.9","AC122462.1","geneslop2k",7742,152
"ENSMUSG00000034009.14","Rxfp1","geneslop2k",100270,538
"ENSMUSG00000098204.1","RP24-294G11.2","geneslop2k",7510,65
"ENSMUSG00000027956.11","Tmem144","geneslop2k",44210,408
"ENSMUSG00000077461.1","Gm26420","geneslop2k",4103,43
"ENSMUSG00000102191.1","RP23-321H9.2","geneslop2k",31514,203
"ENSMUSG00000027955.16","Fam198b","geneslop2k",65748,404
"ENSMUSG00000103181.1","RP23-121N19.3","geneslop2k",162194,481
"ENSMUSG00000103193.1","RP23-406D2.1","geneslop2k",5078,17
"ENSMUSG00000105307.1","RP23-121N19.4","geneslop2k",6325,16
"ENSMUSG00000103154.1","RP23-121N19.1","geneslop2k",4151,22
"ENSMUSG00000103929.1","RP23-121N19.2","geneslop2k",7107,16
"ENSMUSG00000102379.1","RP24-262P4.1","geneslop2k",53473,166
"ENSMUSG00000087123.1","AC121996.1","geneslop2k",4318,27
"ENSMUSG00000033981.14","Gria2","geneslop2k",125386,665
"ENSMUSG00000093226.1","Gm25749","geneslop2k",4111,50
"ENSMUSG00000028020.16","Glrb","geneslop2k",74062,420
"ENSMUSG00000105092.1","RP24-445D5.2","geneslop2k",12668,29
"ENSMUSG00000103419.1","RP24-445D5.1","geneslop2k",4468,23
"ENSMUSG00000106293.1","RP23-187I18.1","geneslop2k",4821,26
"ENSMUSG00000028019.9","Pdgfc","geneslop2k",181625,813
"ENSMUSG00000085106.1","AC122835.2","geneslop2k",7030,127
"ENSMUSG00000102223.1","RP23-296O23.2","geneslop2k",4280,12
"ENSMUSG00000102710.1","RP24-445C12.1","geneslop2k",4785,27
"ENSMUSG00000104732.1","RP23-144D4.1","geneslop2k",6355,9
"ENSMUSG00000103695.1","RP24-485M14.1","geneslop2k",7137,36
"ENSMUSG00000089444.1","Gm22531","geneslop2k",4140,4
"ENSMUSG00000056023.3","RP24-85M18.1","geneslop2k",10456,84
"ENSMUSG00000028015.3","Ctso","geneslop2k",28125,198
"ENSMUSG00000028011.16","Tdo2","geneslop2k",23113,126
"ENSMUSG00000028008.10","Asic5","geneslop2k",42944,200
"ENSMUSG00000028005.13","Gucy1b3","geneslop2k",46684,343
"ENSMUSG00000033910.13","Gucy1a3","geneslop2k",57363,375
"ENSMUSG00000098712.1","Mir7010","geneslop2k",4063,45
"ENSMUSG00000033900.13","Map9","geneslop2k",41225,456
"ENSMUSG00000028004.12","Npy2r","geneslop2k",13702,136
"ENSMUSG00000102514.1","RP23-469J3.3","geneslop2k",4499,12
"ENSMUSG00000102629.1","RP23-469J3.4","geneslop2k",8526,62
"ENSMUSG00000104772.1","RP23-469J3.5","geneslop2k",4580,7
"ENSMUSG00000104898.1","RP23-223I2.3","geneslop2k",9337,15
"ENSMUSG00000087902.1","Gm22038","geneslop2k",4242,10
"ENSMUSG00000105034.1","RP23-223I2.2","geneslop2k",21260,73
"ENSMUSG00000033882.15","Rbm46","geneslop2k",43256,265
"ENSMUSG00000086273.7","Rbm46os","geneslop2k",70934,471
"ENSMUSG00000028003.6","Lrat","geneslop2k",15395,146
"ENSMUSG00000102595.1","RP24-180K20.1","geneslop2k",85824,501
"ENSMUSG00000033860.13","Fgg","geneslop2k",11326,122
"ENSMUSG00000028001.16","Fga","geneslop2k",11552,157
"ENSMUSG00000033831.5","Fgb","geneslop2k",13723,120
"ENSMUSG00000027998.11","Plrg1","geneslop2k",20834,260
"ENSMUSG00000074517.2","RP23-333D8.1","geneslop2k",7971,224
"ENSMUSG00000102692.1","Dchs2","geneslop2k",233262,1507
"ENSMUSG00000103459.1","RP23-288N9.2","geneslop2k",6389,18
"ENSMUSG00000101334.1","RP23-24F12.1","geneslop2k",22760,152
"ENSMUSG00000084596.1","Gm22342","geneslop2k",4298,20
"ENSMUSG00000102137.1","Rpl28-ps2","geneslop2k",4554,37
"ENSMUSG00000088597.1","Gm24584","geneslop2k",4107,12
"ENSMUSG00000027996.13","Sfrp2","geneslop2k",11996,294
"ENSMUSG00000097250.1","RP24-187J17.1","geneslop2k",20104,207
"ENSMUSG00000104082.1","RP24-531K24.1","geneslop2k",24749,156
"ENSMUSG00000027995.10","Tlr2","geneslop2k",9496,160
"ENSMUSG00000033767.14","D930015E06Rik","geneslop2k",146521,1387
"ENSMUSG00000103261.1","RP23-14O16.2","geneslop2k",8485,41
"ENSMUSG00000033752.7","Mnd1","geneslop2k",71854,393
"ENSMUSG00000027993.16","Trim2","geneslop2k",150439,1456
"ENSMUSG00000104043.1","RP24-97D20.2","geneslop2k",5029,67
"ENSMUSG00000104004.1","RP23-286J21.1","geneslop2k",34546,196
"ENSMUSG00000041842.15","Fhdc1","geneslop2k",42232,673
"ENSMUSG00000074513.9","Arfip1","geneslop2k",90533,542
"ENSMUSG00000102805.5","RP24-559D1.1","geneslop2k",1395093,8738
"ENSMUSG00000085625.1","AC102224.2","geneslop2k",4595,20
"ENSMUSG00000103741.1","RP24-372D1.1","geneslop2k",4898,25
"ENSMUSG00000047819.3","Tigd4","geneslop2k",7459,94
"ENSMUSG00000056498.13","Tmem154","geneslop2k",42384,443
"ENSMUSG00000028086.15","Fbxw7","geneslop2k",167931,1037
"ENSMUSG00000102919.1","RP24-318B11.1","geneslop2k",7886,44
"ENSMUSG00000104290.1","RP23-146N3.1","geneslop2k",4661,21
"ENSMUSG00000102703.1","RP23-146N3.2","geneslop2k",5266,28
"ENSMUSG00000099995.1","RP23-94M23.1","geneslop2k",18512,83
"ENSMUSG00000105012.1","RP23-94M23.3","geneslop2k",34605,189
"ENSMUSG00000110441.1","RP23-94M23.4","geneslop2k",34942,218
"ENSMUSG00000080424.1","Mir466k","geneslop2k",4122,37
"ENSMUSG00000106422.1","RP24-389G6.1","geneslop2k",13074,68
"ENSMUSG00000085527.1","AC102296.1","geneslop2k",21900,147
"ENSMUSG00000028085.12","Gatb","geneslop2k",85504,440
"ENSMUSG00000051000.17","Fam160a1","geneslop2k",161231,1039
"ENSMUSG00000031286.6","Glt28d2","geneslop2k",21668,218
"ENSMUSG00000106508.1","RP23-329L9.3","geneslop2k",5544,111
"ENSMUSG00000064840.1","Gm26204","geneslop2k",4107,4
"ENSMUSG00000103993.1","RP23-329L9.2","geneslop2k",4475,27
"ENSMUSG00000044330.8","RP23-329L9.1","geneslop2k",4288,35
"ENSMUSG00000077517.1","Gm25876","geneslop2k",4119,28
"ENSMUSG00000089077.1","Gm24501","geneslop2k",4062,3
"ENSMUSG00000098444.1","Gm27811","geneslop2k",4064,3
"ENSMUSG00000028082.13","Sh3d19","geneslop2k",163418,1368
"ENSMUSG00000049013.3","Prss48","geneslop2k",12682,118
"ENSMUSG00000065847.1","Gm25188","geneslop2k",4122,43
"ENSMUSG00000028081.6","Rps3a1","geneslop2k",8763,169
"ENSMUSG00000064984.1","Snord73a","geneslop2k",4068,43
"ENSMUSG00000064390.1","Rnu73b","geneslop2k",4071,118
"ENSMUSG00000103408.1","RP23-383K24.3","geneslop2k",6789,137
"ENSMUSG00000102218.1","RP23-383K24.4","geneslop2k",4433,24
"ENSMUSG00000089394.1","Gm23025","geneslop2k",4111,18
"ENSMUSG00000028080.16","Lrba","geneslop2k",562013,2431
"ENSMUSG00000103759.1","RP23-99I7.2","geneslop2k",4334,17
"ENSMUSG00000077744.1","Gm26343","geneslop2k",4131,6
"ENSMUSG00000065764.1","Gm23850","geneslop2k",4169,13
"ENSMUSG00000064867.1","Gm25039","geneslop2k",4107,14
"ENSMUSG00000057777.4","Mab21l2","geneslop2k",7049,162
"ENSMUSG00000094392.1","RP24-281K23.1","geneslop2k",4136,27
"ENSMUSG00000104108.1","RP23-438M14.4","geneslop2k",14583,138
"ENSMUSG00000028078.14","Dclk2","geneslop2k",138702,1406
"ENSMUSG00000104074.1","RP24-363G13.1","geneslop2k",4829,39
"ENSMUSG00000064872.1","Gm23376","geneslop2k",4160,18
"ENSMUSG00000103650.1","RP24-179K8.1","geneslop2k",4296,19
"ENSMUSG00000041750.13","Cd1d2","geneslop2k",7230,47
"ENSMUSG00000028076.12","Cd1d1","geneslop2k",7608,80
"ENSMUSG00000104265.1","RP24-179K8.4","geneslop2k",4947,15
"ENSMUSG00000103913.1","RP23-145A18.6","geneslop2k",4529,14
"ENSMUSG00000102394.1","RP23-145A18.5","geneslop2k",4309,11
"ENSMUSG00000077672.1","Gm24472","geneslop2k",4132,26
"ENSMUSG00000041734.15","Kirrel","geneslop2k",100155,1147
"ENSMUSG00000102893.1","RP23-145A18.2","geneslop2k",8763,91
"ENSMUSG00000074506.4","RP23-145A18.7","geneslop2k",4461,23
"ENSMUSG00000015852.13","Fcrls","geneslop2k",16981,130
"ENSMUSG00000015854.7","Cd5l","geneslop2k",17193,117
"ENSMUSG00000059994.10","Fcrl1","geneslop2k",30548,194
"ENSMUSG00000048031.15","Fcrl5","geneslop2k",68906,241
"ENSMUSG00000003382.18","Etv3","geneslop2k",18750,387
"ENSMUSG00000104058.1","Etv3l","geneslop2k",4525,41
"ENSMUSG00000077376.1","Gm25167","geneslop2k",4120,5
"ENSMUSG00000093230.1","Gm24109","geneslop2k",4103,89
"ENSMUSG00000041977.18","Arhgef11","geneslop2k",124476,727
"ENSMUSG00000023084.11","Lrrc71","geneslop2k",15703,226
"ENSMUSG00000028073.15","Pear1","geneslop2k",80417,1216
"ENSMUSG00000028072.6","Ntrk1","geneslop2k",20919,380
"ENSMUSG00000005640.11","Insrr","geneslop2k",23151,434
"ENSMUSG00000028071.12","Sh2d2a","geneslop2k",12968,116
"ENSMUSG00000004895.9","Prcc","geneslop2k",30706,198
"ENSMUSG00000004897.16","Hdgf","geneslop2k",13812,217
"ENSMUSG00000019710.13","Mrpl24","geneslop2k",8167,98
"ENSMUSG00000004896.16","Rrnad1","geneslop2k",12117,179
"ENSMUSG00000048039.8","Isg20l2","geneslop2k",14373,157
"ENSMUSG00000004885.5","Crabp2","geneslop2k",8711,161
"ENSMUSG00000103792.1","RP23-240E15.2","geneslop2k",4421,23
"ENSMUSG00000004891.16","Nes","geneslop2k",13374,225
"ENSMUSG00000004892.13","Bcan","geneslop2k",16700,397
"ENSMUSG00000004894.10","Hapln2","geneslop2k",9834,193
"ENSMUSG00000105843.1","RP23-240E15.3","geneslop2k",6273,55
"ENSMUSG00000028069.16","Gpatch4","geneslop2k",16886,150
"ENSMUSG00000028070.7","Apoa1bp","geneslop2k",5976,103
"ENSMUSG00000051036.12","Ttc24","geneslop2k",12895,115
"ENSMUSG00000028068.14","Iqgap3","geneslop2k",43078,492
"ENSMUSG00000001419.17","Mef2d","geneslop2k",33715,448
"ENSMUSG00000096935.5","RP23-68H24.4","geneslop2k",10230,128
"ENSMUSG00000097280.1","RP23-168E14.5","geneslop2k",9494,173
"ENSMUSG00000097428.1","RP23-168E14.4","geneslop2k",6859,150
"ENSMUSG00000097156.7","RP23-168E14.7","geneslop2k",27147,371
"ENSMUSG00000092988.1","Mir3093","geneslop2k",4087,148
"ENSMUSG00000092876.1","Gm25641","geneslop2k",4108,144
"ENSMUSG00000106493.1","Mir9-1","geneslop2k",4089,144
"ENSMUSG00000104445.1","Rhbg","geneslop2k",15836,260
"ENSMUSG00000103766.5","RP23-168E14.9","geneslop2k",47831,322
"ENSMUSG00000010538.14","Tsacc","geneslop2k",18243,132
"ENSMUSG00000103574.1","RP23-168E14.10","geneslop2k",4147,18
"ENSMUSG00000001416.13","Cct3","geneslop2k",28652,175
"ENSMUSG00000001418.13","Glmp","geneslop2k",10291,138
"ENSMUSG00000001420.13","Tmem79","geneslop2k",11494,193
"ENSMUSG00000001415.10","Smg5","geneslop2k",30079,305
"ENSMUSG00000041423.16","Paqr6","geneslop2k",7958,136
"ENSMUSG00000074489.9","Bglap3","geneslop2k",8128,64
"ENSMUSG00000096792.2","RP24-298F19.1","geneslop2k",5053,61
"ENSMUSG00000074486.2","Bglap2","geneslop2k",4964,57
"ENSMUSG00000078691.3","RP24-298F19.2","geneslop2k",5073,61
"ENSMUSG00000074483.2","Bglap","geneslop2k",4964,64
"ENSMUSG00000028066.15","Pmf1","geneslop2k",20189,181
"ENSMUSG00000050144.13","Slc25a44","geneslop2k",18642,241
"ENSMUSG00000106568.1","RP24-298F19.6","geneslop2k",4460,19
"ENSMUSG00000028064.17","Sema4a","geneslop2k",29224,304
"ENSMUSG00000098655.1","Mir7011","geneslop2k",4073,31
"ENSMUSG00000103304.1","RP24-298F19.5","geneslop2k",4571,23
"ENSMUSG00000028063.15","Lmna","geneslop2k",33810,440
"ENSMUSG00000103115.1","RP23-398K14.4","geneslop2k",5290,45
"ENSMUSG00000074480.4","Mex3a","geneslop2k",13002,279
"ENSMUSG00000084728.1","Mir1905","geneslop2k",4082,101
"ENSMUSG00000008601.12","Rab25","geneslop2k",10272,119
"ENSMUSG00000028062.15","Lamtor2","geneslop2k",7256,165
"ENSMUSG00000008604.11","Ubqln4","geneslop2k",19968,274
"ENSMUSG00000041355.13","Ssr2","geneslop2k",16544,108
"ENSMUSG00000074479.3","RP23-398K14.7","geneslop2k",4730,21
"ENSMUSG00000028059.15","Arhgef2","geneslop2k",46087,656
"ENSMUSG00000093390.1","RP23-398K14.3","geneslop2k",8605,199
"ENSMUSG00000049741.4","Rxfp4","geneslop2k",5245,68
"ENSMUSG00000105512.1","RP23-199B2.8","geneslop2k",5374,120
"ENSMUSG00000028060.14","2810403A07Rik","geneslop2k",31122,220
"ENSMUSG00000105448.1","Gm25820","geneslop2k",4128,7
"ENSMUSG00000105288.1","Gm25820","geneslop2k",4127,7
"ENSMUSG00000084433.1","Gm25945","geneslop2k",4135,19
"ENSMUSG00000028057.14","Rit1","geneslop2k",18212,157
"ENSMUSG00000091881.1","RP23-199B2.2","geneslop2k",4581,19
"ENSMUSG00000104333.1","RP23-199B2.5","geneslop2k",4940,21
"ENSMUSG00000068923.14","Syt11","geneslop2k",34465,341
"ENSMUSG00000078684.8","AC134246.2","geneslop2k",54372,404
"ENSMUSG00000098912.7","RP23-199B2.4","geneslop2k",53605,400
"ENSMUSG00000054199.17","Gon4l","geneslop2k",78873,546
"ENSMUSG00000106218.1","RP23-51N3.3","geneslop2k",58977,324
"ENSMUSG00000064738.1","Gm23054","geneslop2k",4162,10
"ENSMUSG00000068922.14","Msto1","geneslop2k",12893,206
"ENSMUSG00000065236.1","n-R5s197","geneslop2k",4119,31
"ENSMUSG00000068921.14","Dap3","geneslop2k",34379,346
"ENSMUSG00000028053.13","Ash1l","geneslop2k",132754,681
"ENSMUSG00000095712.1","Gm26465","geneslop2k",4107,4
"ENSMUSG00000077804.1","Gm24403","geneslop2k",4130,11
"ENSMUSG00000105204.1","RP24-394C15.7","geneslop2k",23161,428
"ENSMUSG00000041263.14","Rusc1","geneslop2k",13331,312
"ENSMUSG00000059743.12","Fdps","geneslop2k",12372,217
"ENSMUSG00000077148.1","Gm22935","geneslop2k",4104,24
"ENSMUSG00000105654.1","RP24-394C15.4","geneslop2k",4253,26
"ENSMUSG00000041237.12","Pklr","geneslop2k",14643,222
"ENSMUSG00000028051.10","Hcn3","geneslop2k",18123,294
"ENSMUSG00000068917.12","Clk2","geneslop2k",16127,268
"ENSMUSG00000028049.15","Scamp3","geneslop2k",9293,194
"ENSMUSG00000086718.1","AC161600.4","geneslop2k",5539,110
"ENSMUSG00000032657.15","Fam189b","geneslop2k",10153,188
"ENSMUSG00000094489.1","Gm23269","geneslop2k",4107,25
"ENSMUSG00000028048.11","Gba","geneslop2k",10039,154
"ENSMUSG00000064068.14","Mtx1","geneslop2k",22008,493
"ENSMUSG00000105692.1","RP23-350K3.2","geneslop2k",6740,192
"ENSMUSG00000028047.11","Thbs3","geneslop2k",15658,376
"ENSMUSG00000076255.2","Mir92b","geneslop2k",4083,128
"ENSMUSG00000042784.9","Muc1","geneslop2k",8325,195
"ENSMUSG00000042766.17","Trim46","geneslop2k",16133,343
"ENSMUSG00000042747.12","Krtcap2","geneslop2k",7941,180
"ENSMUSG00000042737.9","Dpm3","geneslop2k",11722,101
"ENSMUSG00000027953.13","Slc50a1","geneslop2k",6325,143
"ENSMUSG00000027954.9","Efna1","geneslop2k",13410,292
"ENSMUSG00000093093.2","Gm22642","geneslop2k",4252,20
"ENSMUSG00000028039.11","Efna3","geneslop2k",13067,372
"ENSMUSG00000086389.1","AC132327.8","geneslop2k",7469,208
"ENSMUSG00000028040.7","Efna4","geneslop2k",8639,193
"ENSMUSG00000097004.1","RP23-137J12.1","geneslop2k",13982,268
"ENSMUSG00000028041.17","Adam15","geneslop2k",15455,323
"ENSMUSG00000042672.15","Dcst1","geneslop2k",19035,311
"ENSMUSG00000074467.4","Gm10702","geneslop2k",5270,77
"ENSMUSG00000109293.1","Dcst2","geneslop2k",19575,236
"ENSMUSG00000028042.15","Zbtb7b","geneslop2k",21133,503
"ENSMUSG00000074466.12","AC171273.3","geneslop2k",10930,275
"ENSMUSG00000078173.3","Lenep","geneslop2k",5806,43
"ENSMUSG00000042642.13","Flad1","geneslop2k",14867,158
"ENSMUSG00000028044.6","Cks1b","geneslop2k",6912,138
"ENSMUSG00000042626.13","Shc1","geneslop2k",15585,292
"ENSMUSG00000047824.13","Pygo2","geneslop2k",8915,187
"ENSMUSG00000042613.9","Pbxip1","geneslop2k",18247,209
"ENSMUSG00000027952.16","Pmvk","geneslop2k",18473,166
"ENSMUSG00000000794.9","Kcnn3","geneslop2k",158969,1647
"ENSMUSG00000027951.16","Adar","geneslop2k",42425,452
"ENSMUSG00000027950.7","Chrnb2","geneslop2k",22438,312
"ENSMUSG00000042579.2","RP24-122I22.2","geneslop2k",9730,164
"ENSMUSG00000042572.12","Ube2q1","geneslop2k",14385,237
"ENSMUSG00000106564.1","RP24-122I22.4","geneslop2k",4526,38
"ENSMUSG00000046280.9","She","geneslop2k",31465,403
"ENSMUSG00000027947.11","Il6ra","geneslop2k",53138,516
"ENSMUSG00000105941.1","RP24-122I22.6","geneslop2k",5138,110
"ENSMUSG00000060671.12","Atp8b2","geneslop2k",28028,454
"ENSMUSG00000105082.2","Aqp10-ps","geneslop2k",7950,109
"ENSMUSG00000065045.1","Gm24046","geneslop2k",4165,26
"ENSMUSG00000027944.13","Hax1","geneslop2k",7335,85
"ENSMUSG00000105552.1","RP23-114P22.5","geneslop2k",26686,173
"ENSMUSG00000042520.16","Ubap2l","geneslop2k",56489,354
"ENSMUSG00000077569.1","Gm24608","geneslop2k",4136,16
