"gene_id","chromosome","end","start","Cpg_number","Gene_length","gene_name","var_dim"
"ENSMUSG00000007682.6","chr12",90738438,90724551,"167",13888,"Dio2","genebody"
"ENSMUSG00000007721.6","chr8",70873935,70868226,"177",5710,"Ccdc124","genebody"
"ENSMUSG00000007739.10","chr11",23003780,22990518,"167",13263,"Cct4","genebody"
"ENSMUSG00000007777.9","chr11",51688874,51685385,"69",3490,"RP23-79E13.7","genebody"
"ENSMUSG00000007783.10","chr7",44974851,44959371,"305",15481,"Cpt1c","genebody"
"ENSMUSG00000007805.4","chr1",91848028,91801460,"607",46569,"Twist2","genebody"
"ENSMUSG00000007812.16","chr5",145247302,145231714,"177",15589,"Zfp655","genebody"
"ENSMUSG00000007815.13","chr9",108337934,108306128,"382",31807,"Rhoa","genebody"
"ENSMUSG00000007817.15","chr14",25666743,25459184,"2794",207560,"Zmiz1","genebody"
"ENSMUSG00000007827.10","chr6",118562226,118501307,"745",60920,"Ankrd26","genebody"
"ENSMUSG00000007833.15","chr7",45154584,45140683,"232",13902,"Aldh16a1","genebody"
"ENSMUSG00000007836.6","chr13",58128556,58125878,"218",2679,"Hnrnpa0","genebody"
"ENSMUSG00000007837.11","chr7",45062677,45053583,"182",9095,"Prrg2","genebody"
"ENSMUSG00000007850.16","chr11",50386528,50376989,"203",9540,"Hnrnph1","genebody"
"ENSMUSG00000007867.9","chr12",86162459,86082540,"1157",79920,"Ift43","genebody"
"ENSMUSG00000007872.3","chr4",136145755,136143496,"115",2260,"Id3","genebody"
"ENSMUSG00000007877.2","chr11",98384953,98383810,"30",1144,"Tcap","genebody"
"ENSMUSG00000007880.16","chr4",133756769,133679007,"1112",77763,"Arid1a","genebody"
"ENSMUSG00000007888.15","chr8",70504081,70493157,"330",10925,"Crlf1","genebody"
"ENSMUSG00000007891.16","chr7",142388038,142375910,"173",12129,"Ctsd","genebody"
"ENSMUSG00000007892.8","chr9",61914542,61913283,"58",1260,"Rplp1","genebody"
"ENSMUSG00000007907.4","chr5",87981544,87979438,"23",2107,"Cabs1","genebody"
"ENSMUSG00000007908.14","chr9",76136350,76014854,"744",121497,"Hmgcll1","genebody"
"ENSMUSG00000007944.8","chr7",27657346,27653914,"117",3433,"Ttc9b","genebody"
"ENSMUSG00000007946.11","chr7",101822726,101818312,"195",4415,"Phox2a","genebody"
"ENSMUSG00000007950.9","chr8",71463655,71456704,"198",6952,"Abhd8","genebody"
"ENSMUSG00000007987.12","chr5",136915404,136908149,"113",7256,"Ift22","genebody"
"ENSMUSG00000007989.7","chr14",65262463,65192448,"594",70016,"Fzd3","genebody"
"ENSMUSG00000008028.15","chr7",44385820,44360042,"409",25779,"AC152939.5","genebody"
"ENSMUSG00000008036.11","chr7",16749294,16738409,"170",10886,"Ap2s1","genebody"
"ENSMUSG00000008090.14","chr5",108706924,108692381,"325",14544,"Fgfrl1","genebody"
"ENSMUSG00000008129.14","chr8",84172590,84148024,"205",24567,"AC159266.3","genebody"
"ENSMUSG00000008136.14","chr1",43196984,43123073,"783",73912,"Fhl2","genebody"
"ENSMUSG00000008140.17","chr7",44496529,44489936,"135",6594,"Emc10","genebody"
"ENSMUSG00000008153.11","chr6",124464794,124430758,"434",34037,"Clstn3","genebody"
"ENSMUSG00000008167.14","chr8",85067124,85060054,"134",7071,"Fbxw9","genebody"
"ENSMUSG00000008193.13","chr7",44532071,44525992,"106",6080,"Spib","genebody"
"ENSMUSG00000008200.14","chr2",90781021,90745369,"411",35653,"Fnbp4","genebody"
"ENSMUSG00000008206.16","chr8",4531680,4493025,"304",38656,"Cers4","genebody"
"ENSMUSG00000008226.14","chr2",73337818,73312600,"272",25219,"Scrn3","genebody"
"ENSMUSG00000008301.11","chr18",56587712,56562442,"371",25271,"Phax","genebody"
"ENSMUSG00000008305.18","chr4",72200919,72117141,"704",83779,"Tle1","genebody"
"ENSMUSG00000008307.11","chr5",3584356,3571565,"98",12792,"AC090443.3","genebody"
"ENSMUSG00000008318.10","chr7",100863446,100845846,"237",17601,"Relt","genebody"
"ENSMUSG00000008333.12","chr2",143072853,143063038,"128",9816,"Snrpb2","genebody"
"ENSMUSG00000008348.9","chr5",125390202,125385964,"150",4239,"Ubc","genebody"
"ENSMUSG00000008373.16","chr7",3642486,3629984,"132",12503,"Prpf31","genebody"
"ENSMUSG00000008384.8","chr7",27490316,27486909,"125",3408,"Sertad1","genebody"
"ENSMUSG00000008393.9","chr16",8672155,8658579,"198",13577,"Carhsp1","genebody"
"ENSMUSG00000008398.15","chr10",93311135,93247413,"1005",63723,"Elk3","genebody"
"ENSMUSG00000008429.8","chr9",25151820,25108131,"350",43690,"Herpud2","genebody"
"ENSMUSG00000008435.15","chr7",4445649,4424769,"233",20881,"Rdh13","genebody"
"ENSMUSG00000008438.3","chr12",81568474,81558583,"67",9892,"Adam21","genebody"
"ENSMUSG00000008450.8","chr8",105879330,105860579,"238",18752,"Nutf2","genebody"
"ENSMUSG00000008461.6","chr7",45621059,45617288,"76",3772,"Fut1","genebody"
"ENSMUSG00000008475.13","chr1",152775597,152766541,"173",9057,"Arpc5","genebody"
"ENSMUSG00000008482.8","chr17",24718057,24715838,"33",2220,"Rnf151","genebody"
"ENSMUSG00000008489.18","chr4",91400785,91250762,"1360",150024,"Elavl2","genebody"
"ENSMUSG00000008496.19","chr7",25179726,25087343,"1583",92384,"Pou2f2","genebody"
"ENSMUSG00000008540.11","chr6",138156755,138140315,"171",16441,"Mgst1","genebody"
"ENSMUSG00000008575.17","chr4",82705750,82290172,"4276",415579,"Nfib","genebody"
"ENSMUSG00000008590.4","chr9",48964990,48935007,"304",29984,"Htr3b","genebody"
"ENSMUSG00000008601.12","chr3",88548300,88542028,"74",6273,"Rab25","genebody"
"ENSMUSG00000008604.11","chr3",88569725,88553757,"243",15969,"Ubqln4","genebody"
"ENSMUSG00000008658.16","chr16",7411526,5885354,"9969",1526173,"Rbfox1","genebody"
"ENSMUSG00000008668.14","chr17",33956001,33951998,"106",4004,"Rps18","genebody"
"ENSMUSG00000008683.16","chr7",118116188,118104371,"136",11818,"Rps15a","genebody"
"ENSMUSG00000008690.15","chr15",89372826,89355718,"278",17109,"Ncaph2","genebody"
"ENSMUSG00000008730.17","chr3",103791563,103739814,"615",51750,"Hipk1","genebody"
"ENSMUSG00000008734.9","chr7",118995211,118972046,"385",23166,"Gprc5b","genebody"
"ENSMUSG00000008763.16","chr3",100685503,100562207,"863",123297,"Man1a2","genebody"
"ENSMUSG00000008789.10","chr7",17761132,17713237,"164",47896,"Ceacam5","genebody"
"ENSMUSG00000008813.13","chr14",51920700,51918424,"29",2277,"Tppp2","genebody"
"ENSMUSG00000008822.15","chr12",85288438,85272397,"240",16042,"Acyp1","genebody"
"ENSMUSG00000008843.4","chr5",134915526,134914248,"25",1279,"Cldn13","genebody"
"ENSMUSG00000008845.9","chr6",124330527,124304655,"222",25873,"Cd163","genebody"
"ENSMUSG00000008855.17","chr11",102230166,102194431,"686",35736,"Hdac5","genebody"
"ENSMUSG00000008859.8","chr13",17944239,17880570,"603",63670,"Rala","genebody"
"ENSMUSG00000008874.3","chr8",114425846,114418085,"107",7762,"Clec3a","genebody"
"ENSMUSG00000008892.12","chr8",22593813,22577074,"205",16740,"Vdac3","genebody"
"ENSMUSG00000008932.9","chr4",108013532,107968331,"544",45202,"Slc1a7","genebody"
"ENSMUSG00000008958.14","chr3",95123051,95111021,"183",12031,"Vps72","genebody"
"ENSMUSG00000008976.16","chr16",84863779,84834924,"410",28856,"Gabpa","genebody"
"ENSMUSG00000008999.7","chr2",172940321,172868011,"1310",72311,"Bmp7","genebody"
"ENSMUSG00000009013.5","chr5",115300999,115297109,"111",3891,"Dynll1","genebody"
"ENSMUSG00000009030.14","chr2",37359332,37350073,"89",9260,"Pdcl","genebody"
"ENSMUSG00000009035.15","chr15",79403569,79360683,"745",42887,"Tmem184b","genebody"
"ENSMUSG00000009047.3","chr16",88778528,88777895,"7",634,"Gm5965","genebody"
"ENSMUSG00000009070.14","chr10",75032586,74957476,"1322",75111,"Rsph14","genebody"
"ENSMUSG00000009073.16","chr11",4849536,4765844,"825",83693,"Nf2","genebody"
"ENSMUSG00000009075.2","chr11",4746778,4736891,"252",9888,"Cabp7","genebody"
"ENSMUSG00000009076.10","chr11",4737669,4704677,"396",32993,"Zmat5","genebody"
"ENSMUSG00000009079.16","chr11",5099266,5069688,"373",29579,"Ewsr1","genebody"
"ENSMUSG00000009090.17","chr11",5042791,4986823,"565",55969,"Ap1b1","genebody"
"ENSMUSG00000009092.5","chr10",75895941,75893412,"73",2530,"Derl3","genebody"
"ENSMUSG00000009093.7","chr10",75822543,75814942,"78",7602,"Gstt4","genebody"
"ENSMUSG00000009097.10","chr16",18590671,18580978,"537",9694,"Tbx1","genebody"
"ENSMUSG00000009108.15","chr3",108101432,108092788,"124",8645,"Gnat2","genebody"
"ENSMUSG00000009112.4","chr6",120892842,120836211,"575",56632,"Bcl2l13","genebody"
"ENSMUSG00000009114.17","chr10",76461110,76449080,"168",12031,"RP23-280M4.1","genebody"
"ENSMUSG00000009115.5","chr10",76570201,76562271,"141",7931,"Spatc1l","genebody"
"ENSMUSG00000009145.6","chr6",83067318,83057843,"126",9476,"Dqx1","genebody"
"ENSMUSG00000009185.2","chr11",82116799,82115184,"10",1616,"Ccl8","genebody"
"ENSMUSG00000009207.15","chr2",74579435,74520290,"352",59146,"Lnpk","genebody"
"ENSMUSG00000009210.10","chr11",106377558,106365471,"147",12088,"Prr29","genebody"
"ENSMUSG00000009214.9","chr2",27072179,27061635,"87",10545,"Tmem8c","genebody"
"ENSMUSG00000009216.7","chr2",27142491,27110379,"428",32113,"Fam163b","genebody"
"ENSMUSG00000009246.14","chr7",143094642,143069152,"283",25491,"Trpm5","genebody"
"ENSMUSG00000009248.6","chr7",142969264,142966828,"169",2437,"Ascl2","genebody"
"ENSMUSG00000009281.6","chr6",48572789,48569695,"36",3095,"Rarres2","genebody"
"ENSMUSG00000009291.13","chr10",77598732,77581719,"253",17014,"Pttg1ip","genebody"
"ENSMUSG00000009292.18","chr10",77970563,77907721,"832",62843,"Trpm2","genebody"
"ENSMUSG00000009293.17","chr10",77645993,77622274,"349",23720,"Ube2g2","genebody"
"ENSMUSG00000009350.13","chr11",87804413,87793580,"175",10834,"Mpo","genebody"
"ENSMUSG00000009356.12","chr11",87828289,87806427,"303",21863,"Lpo","genebody"
"ENSMUSG00000009376.15","chr6",17573980,17463799,"1229",110182,"Met","genebody"
"ENSMUSG00000009378.3","chr19",34747289,34668402,"649",78888,"Slc16a12","genebody"
"ENSMUSG00000009394.13","chr6",115282006,115134901,"1099",147106,"Syn2","genebody"
"ENSMUSG00000009418.15","chr1",135607295,135434579,"2319",172717,"Nav1","genebody"
"ENSMUSG00000009470.17","chr13",98926384,98839018,"1059",87367,"Tnpo1","genebody"
"ENSMUSG00000009471.4","chr7",46379099,46376473,"128",2627,"Myod1","genebody"
"ENSMUSG00000009487.10","chr7",46311434,46240986,"939",70449,"Otog","genebody"
"ENSMUSG00000009535.13","chr18",68324852,68300354,"295",24499,"Rnmt","genebody"
"ENSMUSG00000009545.14","chr7",143427042,143106361,"2576",320682,"Kcnq1","genebody"
"ENSMUSG00000009549.14","chr2",118479711,118475849,"115",3863,"Srp14","genebody"
"ENSMUSG00000009551.2","chr2",32741016,32732619,"88",8398,"RP23-17P12.8","genebody"
"ENSMUSG00000009555.16","chr2",32713076,32705783,"223",7294,"Cdk9","genebody"
"ENSMUSG00000009563.16","chr2",32762244,32757233,"121",5012,"Tor2a","genebody"
"ENSMUSG00000009566.12","chr2",32704145,32682608,"394",21538,"Fpgs","genebody"
"ENSMUSG00000009569.14","chr16",13417529,13256480,"1255",161050,"Mkl2","genebody"
"ENSMUSG00000009575.14","chr15",103239816,103191543,"373",48274,"Cbx5","genebody"
"ENSMUSG00000009580.15","chr5",87894174,87885028,"42",9147,"Odam","genebody"
"ENSMUSG00000009585.18","chr15",79915906,79891658,"369",24249,"Apobec3","genebody"
"ENSMUSG00000009588.9","chr11",116775507,116765024,"102",10484,"St6galnac1","genebody"
"ENSMUSG00000009614.16","chr2",27248337,27188392,"657",59946,"Sardh","genebody"
"ENSMUSG00000009621.18","chr2",27427033,27262103,"2087",164931,"Vav2","genebody"
"ENSMUSG00000009628.14","chr8",33585582,33516737,"465",68846,"Tex15","genebody"
"ENSMUSG00000009630.10","chr8",33619441,33599624,"379",19818,"Ppp2cb","genebody"
"ENSMUSG00000009633.3","chr1",193273217,193272160,"36",1058,"G0s2","genebody"
"ENSMUSG00000009640.11","chr4",117682273,117674680,"141",7594,"Dmap1","genebody"
"ENSMUSG00000009646.13","chr10",59421976,59403659,"217",18318,"Pla2g12b","genebody"
"ENSMUSG00000009647.13","chr10",59616692,59446983,"2160",169710,"Mcu","genebody"
"ENSMUSG00000009654.4","chr10",59441778,59422957,"265",18822,"Oit3","genebody"
"ENSMUSG00000009681.10","chr10",75184921,75060591,"1714",124331,"Bcr","genebody"
"ENSMUSG00000009687.14","chr7",31042481,31032721,"148",9761,"Fxyd5","genebody"
"ENSMUSG00000009733.9","chr15",100552008,100498011,"781",53998,"Tfcp2","genebody"
"ENSMUSG00000009734.18","chr13",18397686,18121097,"1918",276590,"Pou6f2","genebody"
"ENSMUSG00000009739.17","chr15",100599984,100575317,"466",24668,"Pou6f1","genebody"
"ENSMUSG00000009741.15","chr9",113977202,113930933,"555",46270,"Ubp1","genebody"
"ENSMUSG00000009772.15","chr1",132333488,132316125,"276",17364,"Nuak2","genebody"
"ENSMUSG00000009828.15","chr9",78172107,78109191,"820",62917,"Ick","genebody"
"ENSMUSG00000009863.14","chr4",140979193,140961202,"357",17992,"Sdhb","genebody"
"ENSMUSG00000009876.13","chr2",152765037,152754172,"135",10866,"Cox4i2","genebody"
"ENSMUSG00000009894.15","chr11",59451186,59407133,"514",44054,"Snap47","genebody"
"ENSMUSG00000009900.7","chr11",59290752,59248032,"663",42721,"Wnt3a","genebody"
"ENSMUSG00000009905.5","chr1",106759727,106720458,"519",39270,"Kdsr","genebody"
"ENSMUSG00000009907.17","chr1",106796728,106764070,"291",32659,"Vps4b","genebody"
"ENSMUSG00000009927.9","chr9",44410427,44407138,"102",3290,"Rps25","genebody"
"ENSMUSG00000010021.13","chr11",114790739,114765387,"428",25353,"Kif19a","genebody"
"ENSMUSG00000010025.19","chr11",61267464,61223416,"553",44049,"Aldh3a2","genebody"
"ENSMUSG00000010044.12","chr9",107551319,107547297,"95",4023,"Zmynd10","genebody"
"ENSMUSG00000010045.2","chr9",107538673,107533944,"139",4730,"Tmem115","genebody"
"ENSMUSG00000010047.12","chr9",107572779,107567944,"170",4836,"Hyal2","genebody"
"ENSMUSG00000010048.10","chr9",107593385,107587641,"156",5745,"Ifrd2","genebody"
"ENSMUSG00000010051.15","chr9",107581710,107576926,"93",4785,"Hyal1","genebody"
"ENSMUSG00000010054.4","chr9",107566112,107563254,"81",2859,"Tusc2","genebody"
"ENSMUSG00000010057.8","chr9",107545706,107542225,"94",3482,"Nprl2","genebody"
"ENSMUSG00000010064.15","chr9",107669530,107650633,"332",18898,"Slc38a3","genebody"
"ENSMUSG00000010066.15","chr9",107529343,107399611,"2023",129733,"Cacna2d2","genebody"
"ENSMUSG00000010067.13","chr9",107562267,107551554,"280",10714,"Rassf1","genebody"
"ENSMUSG00000010080.15","chr11",94499974,94489598,"228",10377,"Epn3","genebody"
"ENSMUSG00000010086.17","chr11",61454131,61448441,"115",5691,"Rnf112","genebody"
"ENSMUSG00000010095.13","chr19",8723369,8706881,"281",16489,"Slc3a2","genebody"
"ENSMUSG00000010097.14","chr19",8772475,8757072,"250",15404,"Nxf1","genebody"
"ENSMUSG00000010110.17","chr19",8756069,8741412,"152",14658,"Stx5a","genebody"
"ENSMUSG00000010122.14","chr11",61378345,61343400,"401",34946,"Slc47a1","genebody"
"ENSMUSG00000010136.14","chr3",106014646,105996956,"125",17691,"Pifo","genebody"
"ENSMUSG00000010142.12","chr11",61149372,61126754,"320",22619,"Tnfrsf13b","genebody"
"ENSMUSG00000010154.7","chr8",123369515,123332712,"679",36804,"Spire2","genebody"
"ENSMUSG00000010175.13","chr1",190170714,190118034,"774",52681,"Prox1","genebody"
"ENSMUSG00000010205.11","chr9",21092008,21074157,"205",17852,"Raver1","genebody"
"ENSMUSG00000010277.7","chr11",78290623,78261751,"363",28873,"RP23-185A18.9","genebody"
"ENSMUSG00000010290.7","chr1",43115947,43098709,"148",17239,"AC161207.1","genebody"
"ENSMUSG00000010307.7","chr7",47054777,47050600,"93",4178,"Tmem86a","genebody"
"ENSMUSG00000010311.15","chr1",133907999,133897198,"137",10802,"Optc","genebody"
"ENSMUSG00000010342.16","chr11",87555823,87405064,"1596",150760,"Tex14","genebody"
"ENSMUSG00000010358.13","chr11",101458698,101448406,"136",10293,"Ifi35","genebody"
"ENSMUSG00000010362.9","chr11",101636100,101627194,"145",8907,"Rdm1","genebody"
"ENSMUSG00000010376.15","chr14",55672124,55662262,"110",9863,"Nedd8","genebody"
"ENSMUSG00000010392.8","chr11",76763579,76726601,"397",36979,"Gosr1","genebody"
"ENSMUSG00000010406.12","chr14",54429756,54426908,"55",2849,"Mrpl52","genebody"
"ENSMUSG00000010435.7","chr8",12600744,12573028,"304",27717,"Spaca7","genebody"
"ENSMUSG00000010453.12","chr1",36369181,36335729,"414",33453,"Kansl3","genebody"
"ENSMUSG00000010461.15","chr10",23350786,23102962,"1996",247825,"Eya4","genebody"
"ENSMUSG00000010476.14","chr7",137314445,137193672,"2122",120774,"Ebf3","genebody"
"ENSMUSG00000010492.10","chr2",181585170,181578479,"100",6692,"Uckl1os","genebody"
"ENSMUSG00000010505.16","chr2",181827797,181763331,"342",64467,"Myt1","genebody"
"ENSMUSG00000010517.7","chr4",109963960,109676587,"1494",287374,"Faf1","genebody"
"ENSMUSG00000010529.6","chr12",111485823,111484608,"91",1216,"RP23-41J14.5","genebody"
"ENSMUSG00000010538.14","chr3",88296999,88282756,"203",14244,"Tsacc","genebody"
"ENSMUSG00000010554.14","chr11",74828525,74770829,"467",57697,"Mettl16","genebody"
"ENSMUSG00000010592.8","chr17",50293599,50279393,"135",14207,"Dazl","genebody"
"ENSMUSG00000010601.14","chr15",77399110,77388218,"109",10893,"Apol7a","genebody"
"ENSMUSG00000010607.8","chr9",22158358,22156845,"86",1514,"Pigyl","genebody"
"ENSMUSG00000010608.15","chr12",83683123,83631235,"448",51889,"Rbm25","genebody"
"ENSMUSG00000010609.15","chr1",180263438,180227003,"509",36436,"Psen2","genebody"
"ENSMUSG00000010651.4","chr9",119157093,119148022,"211",9072,"Acaa1b","genebody"
"ENSMUSG00000010660.3","chr9",119093502,119071526,"449",21977,"Plcd1","genebody"
"ENSMUSG00000010663.4","chr19",10196870,10182887,"279",13984,"Fads1","genebody"
"ENSMUSG00000010721.15","chr5",29378390,29229801,"970",148590,"Lmbr1","genebody"
"ENSMUSG00000010751.15","chr7",143649661,143634805,"117",14857,"Tnfrsf22","genebody"
"ENSMUSG00000010755.17","chr7",143600090,143557229,"457",42862,"Cars","genebody"
"ENSMUSG00000010760.5","chr7",143503150,143501544,"107",1607,"Phlda2","genebody"
"ENSMUSG00000010796.11","chr6",18109061,18050963,"383",58099,"Asz1","genebody"
"ENSMUSG00000010797.6","chr6",18030585,17988939,"412",41647,"Wnt2","genebody"
"ENSMUSG00000010803.13","chr11",42182930,42130938,"332",51993,"Gabra1","genebody"
"ENSMUSG00000010825.17","chr5",143392152,143357337,"687",34816,"Grid2ip","genebody"
"ENSMUSG00000010830.8","chr15",79527739,79516410,"185",11330,"Kdelr3","genebody"
"ENSMUSG00000010841.13","chr11",101992264,101984278,"166",7987,"RP23-398F7.4","genebody"
"ENSMUSG00000010911.12","chr2",103092644,103073674,"230",18971,"Apip","genebody"
"ENSMUSG00000010914.10","chr2",103073513,103021074,"459",52440,"Pdhx","genebody"
"ENSMUSG00000010936.11","chr8",110720398,110618584,"1036",101815,"Vac14","genebody"
"ENSMUSG00000011008.13","chr3",146195513,146149832,"682",45682,"Mcoln2","genebody"
"ENSMUSG00000011034.6","chr5",33162870,33104218,"559",58653,"Slc5a1","genebody"
"ENSMUSG00000011052.6","chr17",26561499,26554253,"80",7247,"RP23-170E7.2","genebody"
"ENSMUSG00000011096.17","chr7",44855421,44848990,"252",6432,"Akt1s1","genebody"
"ENSMUSG00000011114.18","chr9",37657312,37648762,"121",8551,"Tbrg1","genebody"
"ENSMUSG00000011118.4","chr9",37669235,37659901,"77",9335,"Panx3","genebody"
"ENSMUSG00000011148.14","chr12",112641360,112620044,"330",21317,"Adssl1","genebody"
"ENSMUSG00000011154.17","chr7",83794880,83774100,"204",20781,"Cfap161","genebody"
"ENSMUSG00000011158.8","chr12",113000704,112960084,"614",40621,"Brf1","genebody"
"ENSMUSG00000011171.11","chr12",116146261,116077725,"524",68537,"Vipr2","genebody"
"ENSMUSG00000011179.8","chr12",17551505,17544793,"169",6713,"Odc1","genebody"
"ENSMUSG00000011254.16","chr11",45955494,45946842,"115",8653,"Thg1l","genebody"
"ENSMUSG00000011256.16","chr11",46147343,46055991,"1136",91353,"Adam19","genebody"
"ENSMUSG00000011257.19","chr4",123298925,123262350,"573",36576,"Pabpc4","genebody"
"ENSMUSG00000011263.16","chr7",19496762,19463330,"667",33433,"Exoc3l2","genebody"
"ENSMUSG00000011267.8","chr7",19580656,19577286,"93",3371,"Zfp296","genebody"
"ENSMUSG00000011305.11","chr17",56117596,56111600,"92",5997,"Plin5","genebody"
"ENSMUSG00000011306.7","chr8",70072347,70042812,"250",29536,"Sugp1","genebody"
"ENSMUSG00000011349.5","chr7",24877651,24870056,"109",7596,"Dmrtc2","genebody"
"ENSMUSG00000011350.15","chr7",24840275,24818794,"206",21482,"AC161441.7","genebody"
"ENSMUSG00000011382.8","chr7",45488805,45470986,"224",17820,"Dhdh","genebody"
"ENSMUSG00000011427.16","chr7",29831005,29816113,"285",14893,"Zfp790","genebody"
"ENSMUSG00000011463.5","chr3",20275733,20248263,"152",27471,"Cpb1","genebody"
"ENSMUSG00000011486.14","chr17",57041654,57032772,"101",8883,"Slc25a41","genebody"
"ENSMUSG00000011589.8","chr17",55996881,55986510,"162",10372,"Fsd1","genebody"
"ENSMUSG00000011632.7","chr7",24546118,24541657,"65",4462,"Pinlyp","genebody"
"ENSMUSG00000011658.16","chr7",44902631,44896078,"155",6554,"Fuz","genebody"
"ENSMUSG00000011751.16","chr7",27447686,27356382,"1657",91305,"Sptbn4","genebody"
"ENSMUSG00000011752.6","chr19",41918664,41911870,"133",6795,"Pgam1","genebody"
"ENSMUSG00000011831.16","chr5",107875107,107744794,"1045",130314,"Evi5","genebody"
"ENSMUSG00000011832.15","chr8",4211257,4166566,"469",44692,"Evi5l","genebody"
"ENSMUSG00000011837.4","chr8",4256220,4253079,"77",3142,"Snapc2","genebody"
"ENSMUSG00000011877.13","chr11",77507786,77493561,"279",14226,"Git1","genebody"
"ENSMUSG00000011884.13","chr5",114690984,114669397,"444",21588,"Gltp","genebody"
"ENSMUSG00000011958.17","chr9",70008317,69989465,"223",18853,"Bnip2","genebody"
"ENSMUSG00000011960.12","chr15",98570923,98538688,"433",32236,"Ccnt1","genebody"
"ENSMUSG00000012017.4","chr16",17808293,17797281,"475",11013,"Scarf2","genebody"
"ENSMUSG00000012042.8","chr3",138193825,138164077,"342",29749,"RP24-553B2.4","genebody"
"ENSMUSG00000012076.8","chr12",55869736,55836323,"409",33414,"Brms1l","genebody"
"ENSMUSG00000012114.17","chr16",17732891,17651207,"603",81685,"Med15","genebody"
"ENSMUSG00000012117.13","chr4",134000918,133969027,"443",31892,"Dhdds","genebody"
"ENSMUSG00000012123.17","chr4",134092504,134060814,"562",31691,"Crybg2","genebody"
"ENSMUSG00000012126.16","chr4",134127593,134102569,"389",25025,"Ubxn11","genebody"
"ENSMUSG00000012187.13","chr1",78538173,78510990,"346",27184,"Mogat1","genebody"
"ENSMUSG00000012211.13","chr12",113088917,113074501,"203",14417,"Tex22","genebody"
"ENSMUSG00000012282.2","chr18",34548273,34542312,"100",5962,"Wnt8a","genebody"
"ENSMUSG00000012296.16","chr17",46283026,46257850,"452",25177,"Tjap1","genebody"
"ENSMUSG00000012350.15","chr2",103303278,103263432,"365",39847,"Ehf","genebody"
"ENSMUSG00000012396.12","chr6",122714633,122707488,"90",7146,"Nanog","genebody"
"ENSMUSG00000012405.16","chr14",18271391,18267822,"118",3570,"Rpl15","genebody"
"ENSMUSG00000012422.14","chr13",90143907,90089122,"359",54786,"Tmem167","genebody"
"ENSMUSG00000012428.9","chr5",7982213,7960456,"202",21758,"Steap4","genebody"
"ENSMUSG00000012429.9","chr13",17699748,17695191,"80",4558,"Mplkip","genebody"
"ENSMUSG00000012443.3","chr19",37421859,37376402,"444",45458,"Kif11","genebody"
"ENSMUSG00000012483.4","chr6",8259173,8255935,"58",3239,"Rpa3","genebody"
"ENSMUSG00000012519.14","chr8",111338177,111311796,"278",26382,"Mlkl","genebody"
"ENSMUSG00000012520.10","chr5",67099301,67094398,"193",4904,"Phox2b","genebody"
"ENSMUSG00000012535.14","chr6",29609887,29540826,"466",69062,"Tnpo3","genebody"
"ENSMUSG00000012609.19","chr12",86061893,85824658,"2327",237236,"Ttll5","genebody"
"ENSMUSG00000012640.16","chr7",43313294,43296196,"158",17099,"Zfp715","genebody"
"ENSMUSG00000012705.16","chr8",3660110,3655769,"40",4342,"Retn","genebody"
"ENSMUSG00000012777.14","chr7",44257378,44252147,"71",5232,"Acpt","genebody"
"ENSMUSG00000012819.15","chr10",60696490,60302747,"5136",393744,"Cdh23","genebody"
"ENSMUSG00000012848.15","chr7",12926686,12922289,"80",4398,"Rps5","genebody"
"ENSMUSG00000012889.8","chr8",84132527,84125988,"123",6540,"Podnl1","genebody"
"ENSMUSG00000013033.16","chr8",83941954,83900104,"808",41851,"Adgrl1","genebody"
"ENSMUSG00000013076.17","chr9",14645056,14541965,"1117",103092,"Amotl1","genebody"
"ENSMUSG00000013083.8","chr7",30700536,30698925,"16",1612,"RP23-72M20.9","genebody"
"ENSMUSG00000013089.15","chr16",22439719,22381308,"952",58412,"Etv5","genebody"
"ENSMUSG00000013091.5","chr7",4784341,4782936,"21",1406,"Tmem190","genebody"
"ENSMUSG00000013150.15","chr8",105758664,105713853,"543",44812,"Gfod2","genebody"
"ENSMUSG00000013155.10","chr8",105708210,105703650,"133",4561,"Enkd1","genebody"
"ENSMUSG00000013158.6","chr8",105710246,105707654,"84",2593,"RP23-111C21.6","genebody"
"ENSMUSG00000013160.7","chr8",105566047,105524464,"311",41584,"Atp6v0d1","genebody"
"ENSMUSG00000013236.17","chr17",56476483,56412425,"1519",64059,"Ptprs","genebody"
"ENSMUSG00000013275.9","chr1",131848865,131827492,"342",21374,"Slc41a1","genebody"
"ENSMUSG00000013338.16","chr2",156052947,156019138,"538",33810,"Fer1l4","genebody"
"ENSMUSG00000013353.10","chr7",43505940,43492043,"152",13898,"RP23-74K24.1","genebody"
"ENSMUSG00000013367.5","chr7",43490075,43472903,"235",17173,"Iglon5","genebody"
"ENSMUSG00000013415.9","chr11",96005940,95957162,"858",48779,"Igf2bp1","genebody"
"ENSMUSG00000013418.8","chr11",95914891,95865942,"584",48950,"B4galnt2","genebody"
"ENSMUSG00000013419.7","chr9",121771742,121759329,"366",12414,"Zfp651","genebody"
"ENSMUSG00000013465.19","chr2",25211489,25199711,"155",11779,"Nelfb","genebody"
"ENSMUSG00000013483.14","chr11",119345375,119307767,"441",37609,"Card14","genebody"
"ENSMUSG00000013495.15","chr5",108648782,108629769,"158",19014,"Tmem175","genebody"
"ENSMUSG00000013523.13","chr2",170427845,170346990,"1064",80856,"Bcas1","genebody"
